month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,47260,Virginia Beach-Norfolk-Newport News, VA-NC,36,371522,0.0111,0.163,2843,-0.0558,0.2535,40,-0.2617,0.4234,1842,0.0383,-0.1984,92,0.2105,-0.2203,632,-0.0893,1.2734,528,0.2754,-0.435,192,0.0094,0.0784,1952,0.001,0.0844,469600,0.007,0.1152,3313,-0.0208,0.0541,0.1857,0.0482,-0.2263,0
202302,40060,Richmond, VA,43,392472,0.0315,0.068,1497,-0.0947,0.5895,54,-0.1074,0.3671,1306,0.0847,-0.2235,126,2,-0.5333,400,-0.1525,1.1978,2276,0.1533,-0.3191,205,0.0101,0.0542,1982,0.0255,0.0051,463182,0.0315,0.0429,3760,0.039,-0.1142,1.5209,0.327,-2.0293,1
202302,40220,Roanoke, VA,155,349950,0.0097,0.0695,362,-0.1444,0.359,65,0.0574,-0.1485,282,0.0444,-0.0844,4,-0.5,-0.8,114,-0.2192,0.5,417,0.3016,-0.2427,173,0.0189,0.0632,2007,0.0006,-0.0001,499166,0.0469,0.0821,774,0.0334,-0.0445,1.1521,0.3947,-0.9155,0
202302,31340,Lynchburg, VA,182,329900,0.0162,0.1108,334,-0.0962,0.2538,47,-0.2656,-0.0105,272,0.088,-0.1905,12,-0.25,-0.5385,68,-0.3818,0.1724,429,0.1673,-0.171,185,0.0326,0.1211,1734,-0.0337,-0.0083,406751,0.0151,0.12,760,0.0397,-0.0368,1.2864,0.2904,-0.6591,0
202302,16820,Charlottesville, VA,210,569900,0.0506,0.0292,451,-0.0228,0.728,87,0.0058,0.3794,262,0.0917,-0.2762,42,1.1,-0.3824,68,-0.2273,1.8333,468,0.0459,-0.318,255,0.0429,0.042,2267,0.0109,-0.0031,958294,0.0544,-0.0222,927,0.0131,-0.0196,1.0366,0.068,-1.5899,1
202302,13980,Blacksburg-Christiansburg, VA,265,346975,0.0059,0.2961,172,0.0955,0.3333,56,-0.2347,0.3393,130,0.1818,-0.1096,2,0,-0.8333,56,-0.0345,0.8667,169,0.1661,-0.1337,181,0.0295,0.1715,1944,-0.0223,0.1629,452823,0.0066,0.116,345,0.1503,0.0519,0.9797,0.0593,-0.5281,0
202302,49020,Winchester, VA-WV,305,425000,0.0143,0.0736,248,-0.0815,0.8168,83,0,0.1186,162,0.3065,-0.069,8,0.3333,-0.84,58,-0.275,1.9,207,0.3813,-0.0883,202,0.0264,0.0241,2024,-0.0123,0.0006,463311,0.0133,0.0504,455,0.0745,0.2538,0.8327,0.279,-0.8267,0
202302,44420,Staunton, VA,320,363175,-0.0148,0.1263,158,-0.1295,0.3058,75,0.0451,0.3319,94,-0.1455,-0.2985,0,-1,-1,34,-0.2609,1.125,146,0.0318,-0.368,196,0.0174,0.1537,1934,-0.0187,0.0055,423778,-0.0199,-0.295,302,-0.0651,-0.141,0.9241,0.1444,-0.985,0
202302,25500,Harrisonburg, VA,326,349900,0.0056,0.0098,116,-0.0973,0.0841,53,-0.1719,0.2045,96,0.0909,-0.2941,2,,0,22,-0.3889,0.5714,157,0.1135,-0.3757,191,0.0296,0.0273,1866,-0.0016,0.0067,433207,-0.0131,-0.0541,272,0.0149,-0.237,1.3534,0.2562,-0.997,0
202302,19260,Danville, VA,372,194000,0.0252,0.0964,91,-0.037,0.2639,43,-0.1953,-0.1916,62,-0.225,-0.1842,0,,,24,-0.25,0.5,78,0.2602,-0.1576,112,0.0617,0.0376,1664,-0.1158,-0.028,231701,-0.0281,-0.1364,167,0.0774,0.0152,0.8516,0.2009,-0.4261,0
