month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,16940,Cheyenne, WY,379,498625,0.0616,0.0335,321,-0.0573,2.1471,68,-0.0182,1.0769,122,0.0702,-0.1974,2,-0.5,-0.75,78,0.0541,2.5455,161,0.3644,-0.439,186,0.0069,0.048,2820,0.0368,0.0142,522333,0.0306,0.0452,476,0.0348,0.219,0.5016,0.155,-2.3122,1
202302,16220,Casper, WY,436,351500,-0.0233,0.1726,148,0.0137,0.9408,58,-0.0794,0.6571,76,-0.1163,-0.1163,0,,,20,0.25,9,,,,153,-0.0358,0.0917,2248,-0.0392,0.005,423154,-0.0374,-0.0448,148,0.0137,0.9408,,,,0
202302,23940,Gillette, WY,534,377900,0.0507,0.2548,82,-0.2419,-0.2126,139,0.2422,0.9928,32,-0.1579,-0.5294,0,,-1,18,-0.3077,-0.25,57,0.1895,-0.3825,137,0.0435,0.0878,2741,0.0484,0.1998,471748,0.0859,-0.137,140,-0.1058,-0.2734,0.6933,0.2514,-0.1908,0
202302,29660,Laramie, WY,648,395000,0.0102,-0.1788,52,0.1573,1.3953,91,0.0645,0.0371,18,0.125,-0.3077,0,,,8,1,3,32,0.05,-0.2222,217,0,0.1922,2423,0.0226,-0.0954,595638,0.0014,-0.4821,83,0.1141,0.3607,0.6117,-0.0625,-1.2721,1
202302,40540,Rock Springs, WY,690,282925,0.1095,0.2733,62,-0.0236,0.0877,52,0.0619,0.0198,38,-0.05,0.4615,0,,,10,0,-0.1667,,,,131,-0.0071,0.1818,2120,0.0781,0.0036,355007,0.0593,0.3473,62,-0.0236,0.0877,,,,0
202302,40180,Riverton, WY,717,326000,0.0584,-0.0686,102,-0.0856,0.3624,107,0.0288,0,12,-0.4,-0.4,0,,,6,-0.5714,0.5,2,0.5,-0.625,173,0.0223,-0.0267,1925,-0.0146,0.0547,514953,0.0146,0.104,103,-0.0804,0.3038,0.0148,0.0058,-0.0389,0
202302,27220,Jackson, WY-ID,731,1760000,-0.0221,-0.3451,206,-0.0463,1.575,141,0.1757,0.7785,38,0.0556,-0.0952,0,,-1,18,-0.3077,2,68,0.1057,-0.5177,981,-0.01,-0.1664,2278,-0.0078,-0.1858,3874466,-0.0112,-0.0595,272,-0.0163,0.2313,0.3301,0.0454,-1.4324,1
202302,43260,Sheridan, WY,769,588325,0.1482,0.0161,85,-0.1152,1.0864,104,0.3123,0.3595,32,0.0667,0.6,0,,,10,-0.5455,0.6667,44,0.4194,0.0233,265,-0.0144,-0.0822,2017,0.0651,-0.0602,751544,0.0854,-0.237,120,0.0084,0.4634,0.5207,0.1961,-0.541,0
202302,21740,Evanston, WY,900,349975,-0.0132,0.0633,39,-0.0253,0.7111,94,0.0387,2.9167,16,0.1429,-0.3333,0,,,2,-0.75,0,1,,,161,-0.0434,0.0315,2112,0,0.0067,379063,-0.0065,-0.1714,39,-0.0253,0.7111,0.026,,,1
202301,16940,Cheyenne, WY,379,469675,0.0057,-0.0266,341,-0.0992,1.724,69,0.127,0.348,114,0.6765,-0.0172,4,,-0.5,74,-0.119,2.7,118,0.0727,-0.5513,184,0.0176,0.088,2720,-0.0154,-0.0218,506840,0.0102,0.0517,460,-0.0574,0.1948,0.3465,0.0555,-1.7575,1
202301,16220,Casper, WY,436,359900,-0.0588,0.3454,146,-0.1074,0.455,63,0.1887,0.3696,86,0.4333,0.1944,0,,-1,16,0.3333,0,,,,159,0.0076,0.1612,2340,-0.0201,0.0536,439604,-0.0251,0.1937,146,-0.1074,0.455,,,,0
202301,23940,Gillette, WY,534,359675,0.0062,0.2846,108,-0.1667,0.0142,112,0.267,0.3118,38,0.1875,-0.4063,0,,,26,1.1667,1.1667,48,0.0795,-0.4412,132,-0.0438,0.0525,2615,0.0118,0.1452,434425,0.0196,-0.1669,156,-0.1136,-0.1917,0.4419,0.1008,-0.36,0
202301,29660,Laramie, WY,648,391000,-0.0162,0.0596,45,-0.2193,0.6481,85,0.152,-0.3125,16,0.3333,0.3333,0,,,4,0,0,30,-0.1176,-0.0909,217,0.0673,0.5015,2369,-0.0013,-0.1154,594802,0.0717,0.1084,75,-0.1629,0.2845,0.6742,0.0777,-0.5481,0
202301,40540,Rock Springs, WY,690,255000,0,0.1333,64,-0.0379,-0.0078,49,-0.1182,-0.1917,40,1,0.4286,0,,,10,1.5,-0.1667,,,,132,0.0129,0.1904,1966,-0.0051,-0.0061,335143,-0.0685,0.2835,64,-0.0379,-0.0078,,,,0
202301,40180,Riverton, WY,717,308000,-0.1137,-0.0298,111,-0.0431,0.3373,104,0.1429,0.1123,20,0.25,0.25,0,,,14,2.5,0.75,1,0,-0.6667,169,-0.0716,0.0305,1954,0.007,0.06,507565,-0.0671,0.1297,112,-0.0427,0.3176,0.009,0.0004,-0.0271,0
202301,27220,Jackson, WY-ID,731,1799750,0.0587,-0.2501,216,-0.1,1,120,-0.0042,0.4753,36,0,-0.4706,0,,,26,0.625,2.25,62,-0.0238,-0.5157,991,0.1264,-0.1101,2296,0.0195,-0.141,3918446,0.1287,-0.0683,276,-0.0921,0.1897,0.2847,0.0222,-0.8912,1
202301,43260,Sheridan, WY,769,512375,-0.1453,-0.1089,96,-0.1767,0.8365,79,0.0359,0.2383,30,0.5,0.0714,0,,,22,0.375,,31,-0.0606,-0.1389,269,-0.0062,-0.0687,1894,-0.0879,-0.1177,692406,-0.1098,-0.2357,119,-0.156,0.4,0.3246,0.0401,-0.3677,1
202301,21740,Evanston, WY,900,354656,-0.0904,0.3184,40,0.0128,1.1944,91,0.0904,0.4836,14,0.1667,-0.125,0,,,8,1,,,,,168,-0.0195,0.1838,2112,-0.0098,0.012,381552,-0.0595,-0.0066,40,0.0128,1.1944,,,,0
202212,16940,Cheyenne, WY,379,467000,0.0019,0.0638,378,-0.0632,1.2105,61,0.2979,0.5541,68,-0.4925,-0.4848,0,-1,-1,84,-0.3538,1.2105,110,-0.1698,-0.637,181,0.0122,0.0956,2762,-0.002,0.087,501721,-0.0058,0.1101,488,-0.0946,0.0317,0.291,-0.0374,-1.4809,1
202212,16220,Casper, WY,436,382400,0.0443,0.494,163,-0.0605,0.2784,53,0.1648,0.4324,60,-0.1892,-0.1892,0,,,12,-0.7778,-0.5,,,,158,0.0308,0.1586,2388,0.0076,0.1201,450919,0.0377,0.2901,163,-0.0605,0.2784,,,,0
202212,23940,Gillette, WY,534,357450,-0.053,0.3955,129,-0.0373,-0.0409,88,0.1355,0.1733,32,-0.0588,-0.5,0,,,12,-0.4,-0.4,44,-0.0638,-0.5578,138,-0.0412,0.0968,2584,-0.0456,0.2123,426054,-0.1104,-0.08,176,-0.0276,-0.243,0.3411,-0.0097,-0.3987,0
202212,29660,Laramie, WY,648,397450,-0.0417,-0.0537,57,-0.0806,0.8689,74,0.2333,-0.2351,12,-0.5385,-0.5714,0,,,4,-0.7143,0,34,0.0303,-0.2609,203,0.0516,0.0749,2372,0.0104,0.1199,555025,-0.0384,0.0764,89,-0.0681,0.1788,0.5965,0.0642,-0.9117,0
202212,40540,Rock Springs, WY,690,255000,0.0496,0.1256,66,-0.0504,-0.0435,55,0.0526,-0.0265,20,-0.2308,-0.2308,0,,,4,-0.5,-0.75,,,,130,0.0055,0.1933,1976,-0.0025,0.0046,359782,0.0282,0.4813,66,-0.0504,-0.0435,,,,0
202212,40180,Riverton, WY,717,347500,-0.0135,0.0863,116,-0.0902,0.1429,91,0.1818,0.2381,16,-0.5,1,0,-1,,4,-0.8,-0.3333,1,-0.6,-0.6667,182,-0.0156,0.1227,1940,-0.0128,0.0104,544094,-0.1329,0.238,117,-0.093,0.1304,0.0086,-0.011,-0.0209,1
202212,27220,Jackson, WY-ID,731,1700000,-0.0143,-0.3493,240,-0.0283,1.0961,120,0.1111,0.28,36,-0.1,-0.25,0,,-1,16,-0.3846,1,63,-0.2841,-0.494,879,-0.0305,-0.2019,2252,-0.0144,-0.1575,3471664,-0.0092,-0.2105,304,-0.0939,0.2773,0.2625,-0.0938,-0.8248,1
202212,43260,Sheridan, WY,769,599450,-0.0106,0.1135,116,-0.083,1.0531,77,-0.0129,0.9367,20,-0.4118,-0.3333,0,,,16,-0.2727,7,33,-0.2143,-0.34,270,0.0185,0.0664,2076,-0.0737,-0.0326,777781,-0.0509,-0.1068,141,-0.1269,0.3623,0.2845,-0.0475,-0.6005,0
202212,21740,Evanston, WY,900,389900,0.0022,0.5722,39,-0.1236,0.3684,83,0.328,0.7113,12,0.2,-0.3333,0,,,4,-0.5,0,,,,171,0.0371,0.3129,2133,-0.0396,0.0816,405709,-0.053,0.036,39,-0.1236,0.3684,,,,1
202211,16940,Cheyenne, WY,379,466125,-0.0185,0.2348,404,0.0426,1.217,47,0.093,0.5667,134,-0.1829,-0.1928,2,-0.75,-0.8889,130,-0.0714,1.0968,133,-0.268,-0.6283,179,-0.0119,0.1128,2768,0.019,0.1167,504656,-0.0098,0.1653,539,-0.0511,0,0.3284,-0.1393,-1.6304,1
202211,16220,Casper, WY,436,366175,0.0034,0.4307,174,-0.0198,0.2757,46,0.0225,0,74,-0.3833,-0.1591,0,,-1,54,-0.0357,1.7,,,,153,-0.0169,0.1386,2370,-0.0158,0.1179,434534,0.0005,0.2795,174,-0.0198,0.2711,,,,0
202211,23940,Gillette, WY,534,377450,0.0065,0.5104,134,-0.0563,-0.1067,78,0.2302,0.2302,34,-0.4333,-0.5405,0,-1,,20,-0.375,-0.375,47,-0.4835,-0.5877,144,-0.0039,0.1901,2708,0.045,0.2723,478948,-0.0476,0.2825,181,-0.2198,-0.3092,0.3507,-0.2901,-0.4093,1
202211,29660,Laramie, WY,648,414750,-0.0183,-0.0125,62,-0.0159,0.6533,60,0.3043,-0.1946,26,-0.0714,0.8571,0,,,14,-0.3,1.3333,33,-0.0294,-0.2326,193,-0.0077,-0.0055,2348,0.0452,0.1785,577161,-0.1009,0.1456,96,-0.0155,0.2089,0.5323,-0.0074,-0.6144,1
202211,40540,Rock Springs, WY,690,242950,-0.0261,0.0922,70,0.0221,-0.1576,52,0.2744,0.1943,26,-0.2778,-0.4348,0,,,8,-0.6667,-0.3333,,,,130,-0.0111,0.1706,1981,-0.0055,0.0092,349909,-0.0169,0.4624,70,0.0221,-0.1576,,,,0
202211,40180,Riverton, WY,717,352250,-0.0202,0.1183,128,-0.0267,0.0159,77,0.1324,0.252,32,0.1429,0.1429,2,,,20,-0.1667,4,3,-0.375,-0.6429,185,-0.0382,0.1287,1965,-0.0029,0.0326,627451,0.0084,0.4528,129,-0.0373,-0.019,0.0196,-0.0109,-0.0362,0
202211,27220,Jackson, WY-ID,731,1724750,-0.0922,-0.2695,247,-0.1303,0.9603,108,0.1368,0.3891,40,-0.0909,0,0,,-1,26,-0.35,3.3333,88,-0.1776,-0.3669,907,-0.0325,-0.0945,2285,-0.0479,-0.0855,3504027,-0.0718,-0.1614,336,-0.1397,0.2708,0.3563,-0.0205,-0.7469,1
202211,43260,Sheridan, WY,769,605850,-0.0002,0.1564,127,0.0905,1.3868,78,0.1923,0.4904,34,-0.15,-0.0556,0,,,22,0.1,0.8333,42,-0.16,-0.2294,265,-0.0126,0.117,2241,-0.003,-0.0018,819467,-0.0008,-0.1155,162,-0.0031,0.5093,0.332,-0.099,-0.6963,0
202211,21740,Evanston, WY,900,389050,0.0375,0.4864,45,-0.0326,0.3284,63,0.1161,-0.0637,10,-0.375,-0.2857,0,,,8,-0.5,1,,,,165,-0.0359,0.2001,2221,0.0077,0.0574,428414,0.0157,0.0913,45,-0.0326,0.3284,,,,0
202210,16940,Cheyenne, WY,379,474900,-0.0275,0.2664,387,0.0348,1.0695,43,0.1467,0.9111,164,-0.2407,-0.3051,8,0,-0.6,140,0.0769,1.0588,181,-0.2427,-0.5014,181,-0.0016,0.1197,2716,0.0013,0.1068,509629,-0.0054,0.1803,568,-0.0734,0.0309,0.4677,-0.1713,-1.4735,1
202210,16220,Casper, WY,436,364950,0.0442,0.3906,177,-0.1083,0.0536,45,0.1558,0.0471,120,-0.0909,-0.0323,0,,,56,-0.0667,0.1667,,,,156,0.0046,0.1492,2408,0.0186,0.1367,434324,0.0187,0.1852,177,-0.1083,0.0473,,,,0
202210,23940,Gillette, WY,534,375000,0.0397,0.5006,142,-0.0658,-0.0405,63,0.2537,-0.2025,60,-0.1892,-0.1667,4,,,32,-0.1111,0.6,91,-0.0945,-0.3767,144,0.0018,0.1831,2591,0.0654,0.2176,502878,0.0051,0.4203,232,-0.0775,-0.2055,0.6408,-0.0203,-0.3456,1
202210,29660,Laramie, WY,648,422500,-0.0082,0.1274,63,0.1455,0.4,46,-0.08,0,28,-0.125,0,0,,,20,0.4286,1.5,34,-0.3704,-0.5072,195,-0.0089,0.1106,2246,-0.0455,0.0437,641921,0.031,0.2697,97,-0.0935,-0.1339,0.5397,-0.4421,-0.9937,0
202210,40540,Rock Springs, WY,690,249450,0.0329,0.0965,68,-0.0993,-0.1905,41,-0.0734,-0.1087,36,-0.1818,-0.25,0,,,24,0.2,0.5,,,,131,0.0392,0.1754,1992,-0.0531,-0.0119,355921,0.0405,0.3677,68,-0.0993,-0.1905,,,,0
202210,40180,Riverton, WY,717,359500,0,0.1254,131,-0.0871,-0.0903,68,0.2364,0.3333,28,-0.3913,-0.5,0,,,24,-0.3684,0.5,4,-0.3846,-0.4286,192,-0.0136,0.1865,1971,0.002,0.0512,622231,0.0413,0.4303,134,-0.0976,-0.1007,0.0305,-0.0148,-0.0181,0
202210,27220,Jackson, WY-ID,731,1900000,-0.1703,-0.2067,284,-0.0053,0.8323,95,0.2102,0.5079,44,-0.3333,-0.2143,0,,-1,40,-0.3548,0.6667,107,-0.2074,-0.3554,938,-0.1074,-0.0975,2400,-0.0411,-0.0629,3774887,-0.0617,-0.0526,390,-0.0725,0.2226,0.3768,-0.0961,-0.6942,1
202210,43260,Sheridan, WY,769,606000,-0.0269,0.1767,116,0.0357,1.1481,65,0.1404,0.3265,40,-0.2857,0,0,,,20,-0.375,0,50,-0.1304,-0.1803,269,-0.0232,0.2347,2248,-0.0462,-0.0071,820156,-0.0505,-0.0414,162,0.0031,0.3966,0.431,-0.0824,-0.6986,0
202210,21740,Evanston, WY,900,375000,0.0068,0.3639,46,-0.1238,0.2432,56,-0.0782,0.0566,16,-0.5556,-0.2,0,,,16,0.1429,0.3333,,,,171,0.0528,0.2189,2204,-0.0145,0.0561,421812,-0.034,0.0789,46,-0.1238,0.2432,,,,0
202209,16940,Cheyenne, WY,379,488350,-0.0031,0.311,374,0.058,1.2945,38,0.087,0.6484,216,-0.0182,0.1134,8,0.3333,-0.4286,130,-0.2073,1.4074,239,0.0021,-0.38,181,-0.0045,0.1123,2713,-0.0462,0.1489,512390,-0.0194,0.1481,613,0.0355,0.1176,0.639,-0.0356,-1.726,1
202209,16220,Casper, WY,436,349500,0,0.2849,199,0.0128,0.0817,39,0.2031,0.2031,132,0.0154,0.082,0,-1,,60,-0.1429,0.1111,,,,155,0.0236,0.1218,2364,-0.006,0.0416,426368,-0.0041,0.0023,199,0.0128,0.0817,,,,0
202209,23940,Gillette, WY,534,360675,-0.0157,0.4433,152,-0.041,-0.1717,50,0.0806,-0.1992,74,-0.0513,-0.075,0,-1,,36,-0.2174,-0.4194,101,-0.1184,-0.2637,144,-0.0114,0.2201,2432,0.0012,0.1085,500339,-0.0098,0.4776,252,-0.072,-0.2066,0.6612,-0.0581,-0.0827,0
202209,29660,Laramie, WY,648,426000,-0.0415,0.0932,55,0.0092,0,50,0.2658,0.5152,32,-0.2,-0.1111,0,-1,,14,-0.2222,1.3333,54,-0.2552,-0.4346,197,-0.004,0.2044,2353,-0.0271,-0.1094,622649,-0.0279,0.2222,107,-0.144,-0.2937,0.9818,-0.3485,-0.7545,0
202209,40540,Rock Springs, WY,690,241500,0.0233,0.0738,76,-0.0848,-0.1611,44,-0.0056,-0.0112,44,0.2941,0,0,,,20,-0.4444,0.25,,,,126,0.0499,0.1187,2104,-0.0025,0.0775,342061,-0.0167,0.2946,76,-0.0848,-0.1611,,,,0
202209,40180,Riverton, WY,717,359500,-0.0662,0.1413,144,0.0361,0.0474,55,0.1,0.0476,46,-0.1786,-0.1154,0,-1,,38,0.7273,1.7143,7,0.3,0.4444,195,-0.0788,0.2175,1967,0.0005,0.0612,597560,-0.061,0.3905,149,0.0532,0.0569,0.0453,0.0092,0.0124,0
