month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,11260,Anchorage, AK,143,435625,0.0211,0.087,456,-0.0853,0.2374,49,-0.4209,0.4058,386,0.3497,-0.2025,24,3,-0.5714,96,-0.0943,0.8462,1,0,,248,0.0274,0.1178,1849,0.0027,0.0308,487799,0.0271,0.0897,457,-0.0861,0.2388,0.0022,0.0002,,0
202302,21820,Fairbanks, AK,411,324700,0.0283,0.2913,128,-0.1111,0.6842,64,-0.2395,0.6821,58,-0.0645,-0.2927,2,,,32,0,1.2857,7,0.4444,0.4444,167,-0.0042,-0.0569,1820,0.0155,0.1678,338502,0.021,0.0389,136,-0.0906,0.6728,0.0508,0.0195,-0.0084,0
202302,27940,Juneau, AK,790,426950,-0.0099,-0.0145,37,-0.131,0.825,136,0.204,3.344,22,1.2,-0.2667,0,,,8,0,0.3333,41,0.0946,0.0946,299,0.0061,0.0589,1346,-0.0218,-0.1786,462942,0.0258,0.0397,78,-0.0127,0.3684,1.1096,0.2286,-0.7404,1
202302,28540,Ketchikan, AK,920,388000,-0.019,-0.0776,24,-0.1607,0,129,0.1644,0.0508,8,-0.3333,-0.2,0,,,0,,-1,18,0.3462,0.4,255,0.0991,0.0383,1494,-0.1233,-0.1378,391920,0.0304,-0.0791,40,-0.0244,0.1429,0.7447,0.2804,0.2128,0
202301,11260,Anchorage, AK,143,426625,-0.0282,0.096,499,-0.176,0.1539,84,0.0469,0.009,286,0.5213,-0.0833,6,-0.25,-0.75,106,0.1042,0.8929,1,,,241,0.0323,0.0809,1844,-0.0314,0.0539,474923,-0.0119,0.0856,500,-0.1744,0.1563,0.002,,,0
202301,21820,Fairbanks, AK,411,315750,-0.0285,0.2658,144,-0.191,0.7349,84,-0.0291,0.0915,62,0.2917,-0.1389,0,,,32,0,1.6667,5,-0.25,-0.25,168,-0.0162,0.0601,1792,-0.0175,0.088,331543,-0.0292,0.0781,149,-0.1902,0.6556,0.0313,-0.0025,-0.041,0
202301,27940,Juneau, AK,790,431225,0.0783,-0.0197,42,-0.0455,0.9091,113,0.375,0.4643,10,-0.375,-0.5,0,,,8,1,,37,0.2333,0.0278,297,0.0009,0.1239,1376,0.0189,-0.1403,451300,-0.0076,-0.0745,79,0.0676,0.4364,0.881,0.1991,-0.7554,0
202301,28540,Ketchikan, AK,920,395500,0.0167,-0.0088,28,-0.0345,0.4,111,0.2065,-0.2043,12,0.5,0,0,,,0,-1,,13,0.625,0.4444,232,-0.0713,0.0121,1705,0.0761,-0.0277,380359,-0.0182,-0.0671,41,0.1714,0.4138,0.4643,0.1884,0.0143,0
202212,11260,Anchorage, AK,143,439000,0.0241,0.1722,605,-0.1667,0.0717,80,0.2903,0.1679,188,-0.3188,-0.3974,8,0.3333,-0.6364,96,-0.5052,0,,,,234,0.013,0.0906,1904,0,0.1019,480656,0.0027,0.109,605,-0.1667,0.0717,,,,0
202212,21820,Fairbanks, AK,411,325000,-0.0105,0.2372,178,-0.121,0.6872,86,0.2028,0.1944,48,-0.1724,0.6,0,,,32,-0.5429,1.2857,6,-0.4,-0.1429,171,-0.0479,0.091,1824,0.0105,0.0495,341510,-0.0121,0.1145,184,-0.1362,0.6356,0.0337,-0.0157,-0.0326,0
202212,27940,Juneau, AK,790,399900,0,-0.0935,44,-0.102,0.4915,82,0.5256,0.2239,16,-0.1111,0.3333,0,,,4,-0.8333,0,30,-0.2,-0.4286,297,0.0087,0.0972,1350,0.0135,-0.1677,454746,0.0005,-0.0833,74,-0.1395,-0.0692,0.6818,-0.0835,-1.0978,1
202212,28540,Ketchikan, AK,920,389000,-0.0395,0.0394,29,0.0175,0.0943,92,0.4839,-0.264,8,0,0.3333,0,,,4,1,,8,-0.1579,-0.1111,250,-0.0505,0.1891,1584,0.0304,-0.0085,387426,0.027,-0.0312,35,-0.0667,-0.0141,0.2759,-0.0575,-0.0638,0
202211,11260,Anchorage, AK,143,428660,-0.0031,0.1859,726,-0.0728,0.0269,62,0.069,0.1171,276,-0.3839,-0.303,6,-0.7,-0.4,194,-0.3938,0.1687,,,,231,0.0104,0.1099,1904,-0.0083,0.0914,479352,-0.0158,0.126,726,-0.0728,0.0269,,,,0
202211,21820,Fairbanks, AK,411,328450,-0.003,0.3578,203,-0.1419,0.4063,72,0.1532,0.217,58,-0.3696,-0.275,0,,-1,70,-0.2045,1.3333,10,0.1111,0.5385,179,-0.011,0.1581,1805,-0.0017,0.1084,345690,0.0127,0.204,213,-0.1198,0.4106,0.0494,0.0112,0.0042,0
202211,27940,Juneau, AK,790,399900,-0.0963,-0.1579,49,-0.02,0.3425,54,1.0673,-0.0183,18,-0.3571,-0.1818,0,-1,,24,1,11,38,-0.2647,-0.3304,294,-0.0009,0.0963,1332,-0.0458,-0.1745,454523,-0.0686,-0.0489,86,-0.14,-0.0444,0.7653,-0.2547,-0.7689,1
202211,28540,Ketchikan, AK,920,405000,-0.0695,0.3096,29,-0.05,-0.0172,62,0.4091,-0.4299,8,-0.3333,3,0,,,2,-0.75,,10,-0.2692,-0.4242,263,-0.0095,0.2835,1537,-0.0973,-0.0452,377243,-0.1054,0.0112,38,-0.1279,-0.1758,0.3333,-0.1,-0.2356,1
202210,11260,Anchorage, AK,143,430000,-0.0225,0.2286,783,-0.0799,-0.1367,58,0.1048,0.2609,448,-0.1318,-0.2632,20,0.25,0.6667,320,-0.0643,-0.0476,,,,228,0.0005,0.1335,1920,-0.0149,0.1019,487057,-0.0089,0.166,783,-0.081,-0.1367,,,,0
202210,21820,Fairbanks, AK,411,329450,-0.038,0.3447,236,-0.1027,0.2165,62,0.3191,0.1481,92,-0.425,-0.1154,0,,,88,-0.2903,0.2941,9,-0.3571,0.125,181,-0.0203,0.1047,1808,-0.0123,0.1612,341346,-0.0167,0.2256,242,-0.1311,0.198,0.0381,-0.0151,-0.0031,0
202210,27940,Juneau, AK,790,442500,-0.0819,0.0926,50,0.2821,0.2195,26,-0.2973,-0.3158,28,-0.3636,0,4,,,12,0.5,0.5,51,-0.2388,-0.2154,294,-0.0365,0.1652,1396,-0.1285,-0.1275,487982,-0.0715,0.0934,100,-0.0476,-0.0741,1.02,-0.6979,-0.5654,0
202210,28540,Ketchikan, AK,920,435250,-0.0068,0.2124,30,0.0714,-0.1667,44,-0.0785,-0.3889,12,0.2,0.5,0,,,8,3,1,13,0.625,-0.5,266,0.1163,0.1936,1703,-0.0704,0.0512,421672,0.0559,0.108,43,0.2286,-0.2951,0.4333,0.1476,-0.2889,0
202209,11260,Anchorage, AK,143,439900,0.0233,0.2326,851,-0.1209,-0.1677,53,0.2209,0.2651,516,-0.1342,-0.2732,16,-0.1111,-0.2,342,-0.2597,-0.2156,1,0,,228,0.0155,0.1469,1949,0.0117,0.0866,491425,0.02,0.1628,852,-0.1207,-0.1667,0.0012,0.0001,,0
