month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,13820,Birmingham-Hoover, AL,50,271650,0.0055,0.0353,2328,-0.055,0.6379,66,-0.0638,0.5172,1270,0.0063,-0.2033,124,0.1481,-0.3404,722,-0.0952,1.2284,1850,0.2111,-0.2079,149,0.0035,0.061,1799,0.0031,-0.0085,355916,0.0079,-0.0351,4166,0.0448,0.105,0.7948,0.1747,-0.8487,0
202302,26620,Huntsville, AL,108,394175,0.0108,0.0582,1446,-0.044,3.1255,66,-0.0294,4.5,708,-0.0028,0.0892,84,0.2,3.6667,548,-0.119,4.5918,328,0.4386,17.2222,168,-0.0007,0.0925,2363,0.0028,-0.0169,463355,0.0045,-0.0497,1763,-0.0031,3.7778,0.2268,0.0761,0.1755,1
202302,33660,Mobile, AL,122,239788,0.0014,0.1741,674,-0.083,0.2741,61,-0.1159,0.6053,428,-0.0093,-0.2302,10,-0.1667,-0.7222,190,-0.2276,0.4615,100,0.0309,-0.2337,131,0.0054,0.1249,1810,0.0044,0.0327,319710,0.007,0.1497,772,-0.0694,0.1815,0.1484,0.0164,-0.0983,0
202302,33860,Montgomery, AL,144,301165,0.0919,0.488,663,-0.0426,0.8151,61,-0.2143,0.4235,420,0.1413,-0.2135,20,0.6667,0.25,162,-0.0241,0.9756,382,0.3649,-0.2656,125,0.0425,0.2651,2164,0.0263,0.1147,342223,0.045,0.1379,1035,0.0731,0.1663,0.5758,0.1719,-0.8474,0
202302,46220,Tuscaloosa, AL,185,286520,-0.0006,0.1116,526,0.0233,0.4755,61,-0.1439,0.0942,252,0.0769,-0.2317,70,1.0588,-0.2553,146,0.058,1.2121,299,0.3085,-0.3848,160,0.0301,0.0902,1835,-0.0217,0.063,393788,0.0255,0.0535,824,0.1098,-0.0144,0.5684,0.1239,-0.7948,0
202302,19300,Daphne-Fairhope-Foley, AL,191,496500,0.0237,0.1003,1517,-0.0111,1.0335,69,-0.1737,0.5862,760,0.2795,-0.0754,66,0.32,-0.3125,390,-0.1737,1.3494,863,0.208,-0.4448,281,0.0166,0.194,1867,-0.0053,-0.0741,691470,0.0158,-0.0384,2372,0.0594,0.0426,0.5686,0.1031,-1.5139,1
202302,12220,Auburn-Opelika, AL,255,380450,0.0009,0.0737,477,-0.0354,0.5008,65,-0.2353,0.7333,248,0.1273,-0.0388,28,0.4,-0.44,104,-0.1746,1.4762,42,0,-0.1429,175,-0.0025,0.0337,2293,-0.0224,0.0263,437943,-0.0072,0.0559,516,-0.0391,0.4098,0.0881,0.0031,-0.0662,0
202302,22520,Florence-Muscle Shoals, AL,267,294300,0.0513,0.3581,273,-0.1066,0.5982,73,-0.0701,0.2586,134,-0.0429,-0.3431,2,0,-0.5,56,-0.2632,0.037,185,0.3653,-0.3321,142,0.0424,0.193,1924,-0.0085,0.03,397890,0.0416,-0.0338,455,0.0341,0.0156,0.6789,0.2346,-0.9457,0
202302,20020,Dothan, AL,271,257675,0.0954,0.1985,234,-0.1646,0.1793,73,-0.0458,0.759,138,0.0615,-0.0676,2,-0.5,-0.5,72,0.0286,1,47,0.1772,0.1071,124,0.0353,0.0915,2116,0.0526,0.1421,286276,0.0151,-0.0343,279,-0.124,0.1649,0.1991,0.0578,-0.013,0
202302,19460,Decatur, AL,275,307450,0,0.1429,200,-0.0339,0.7973,71,-0.0596,1.254,126,0.3404,-0.241,0,,,76,-0.1556,1.7143,61,0.1731,1.0333,137,0.0002,0.0519,2200,-0.0014,0.0441,356846,-0.0019,-0.0526,265,0.0192,0.8794,0.3058,0.0539,0.0355,1
202302,11500,Anniston-Oxford, AL,355,173775,-0.0504,0.0868,197,-0.0506,0.2669,72,-0.0171,0.2424,96,0,-0.2,2,,0,46,0,-0.1154,118,0.2292,-0.148,95,-0.0062,0.0218,1757,-0.0078,0.1035,241285,-0.004,0.1443,318,0.0341,0.078,0.599,0.1363,-0.2917,0
202302,23460,Gadsden, AL,378,224950,0.0002,0.0934,190,-0.0052,0.8762,61,-0.253,0.408,84,-0.3,-0.1765,4,,,50,-0.1379,0.5625,68,0.35,3.3548,109,0.0008,0.0596,1970,0.0003,-0.0014,258429,0.0123,0.0433,255,0.0692,1.1888,0.3562,0.0937,0.2027,0
202302,10700,Albertville, AL,404,351425,0.0049,0.2079,221,0.0184,0.9217,76,0.0596,1.4754,102,0.4571,-0.0192,4,0,,74,0.1935,0.85,38,0.2712,4.3571,156,-0.0045,0.1318,2207,-0.0341,0.0436,516439,-0.0084,0.047,260,0.0422,1.1358,0.1697,0.0337,0.1088,1
202302,18980,Cullman, AL,421,318115,-0.0175,0.0913,283,-0.14,0.6424,71,-0.1262,0.4947,118,0.3721,-0.2716,0,-1,-1,76,0.1875,1.7143,118,0.2634,0.0444,159,-0.0402,0.0777,1910,-0.0194,-0.0062,459235,-0.0188,-0.0053,397,-0.0469,0.406,0.4159,0.1328,-0.2381,0
202302,45180,Talladega-Sylacauga, AL,448,199900,-0.0668,0.0362,178,-0.022,0.7317,76,-0.0821,0.0942,64,-0.1111,0.0667,4,-0.6667,0,44,0.375,0.6923,97,0.3379,-0.0718,117,-0.0063,0.1363,1570,-0.0929,-0.0872,252371,-0.0523,-0.136,274,0.0789,0.3118,0.5465,0.147,-0.473,0
202302,22840,Fort Payne, AL,486,292000,0.0858,0.1918,118,-0.0562,0.7669,89,0.1132,0.77,38,-0.1364,-0.2083,0,,,34,0,2.4,33,-0.0294,7.25,144,0.0689,0.1164,1993,0.0067,0.0544,400987,0.1014,0.1582,149,-0.0541,1.1064,0.2809,0.0078,0.2207,0
202302,27530,Jasper, AL,507,299000,0.0147,0.6492,133,-0.0667,0.4301,77,0.0922,-0.0994,40,0.1765,-0.1304,0,-1,,24,-0.2,2,56,0.1915,-0.145,150,0.0343,0.407,2094,0.0323,0.2203,497388,0.0796,0.6176,188,0.0027,0.2097,0.4211,0.0912,-0.2832,1
202302,21460,Enterprise, AL,561,347000,0.0007,0.7437,93,-0.0606,0.488,90,0.0227,1.4324,66,0.65,-0.2143,0,,,20,-0.0909,0.25,46,-0.0215,-0.5381,150,-0.0005,0.4572,2221,-0.0085,0.1499,324126,-0.0113,0.3525,142,-0.0341,-0.1156,0.4892,0.0196,-1.0868,1
202302,42460,Scottsboro, AL,567,289900,0.0605,0.0176,80,-0.0698,0.3793,83,0.0472,0.2425,40,0.3333,-0.0909,0,,,16,-0.4286,0.1429,22,0.2941,3.4,138,0.048,0.1103,2093,0.0202,-0.0596,392845,0.0531,-0.276,102,-0.0146,0.6371,0.275,0.0773,0.1888,0
202302,10760,Alexander City, AL,568,439925,0.0202,0.1748,153,0,0.5327,80,-0.1114,0.5792,74,0.3214,0.2333,2,,-0.6667,28,0.2727,0.5556,33,0.1607,-0.2857,218,0.077,0.5191,1884,-0.0833,0.0465,540421,-0.078,-0.0287,182,0.0083,0.2381,0.2131,0.0295,-0.2442,0
202302,37120,Ozark, AL,584,192975,-0.0699,0.3799,52,-0.1545,0.1183,61,-0.2026,0.7183,32,0.2308,-0.2727,0,,,8,-0.6,-0.2,25,0.0204,-0.4565,113,-0.0446,0.1977,1868,-0.0148,0.1927,240136,-0.0226,0.2621,77,-0.1257,-0.173,0.4808,0.0824,-0.5085,0
