month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,38060,Phoenix-Mesa-Chandler, AZ,11,487000,0.0157,-0.0259,12500,-0.0734,2.0863,62,-0.1689,1.1964,7142,0.0174,-0.1235,396,0.1445,-0.4407,6734,-0.1369,4.4219,7693,0.3871,-0.3153,267,0.0063,-0.0084,1937,0.0102,-0.0221,808936,0.0662,-0.0568,20130,0.0578,0.3175,0.6155,0.2043,-2.1586,1
202302,46060,Tucson, AZ,53,387000,0.0265,0.032,2121,-0.1051,0.9589,54,-0.1301,0.4267,1272,0.0032,-0.2187,120,1.8571,-0.4393,848,-0.2148,2.8198,1680,0.2326,-0.3519,222,0.0127,0.045,1834,0.011,-0.0171,547828,0.0439,0.0177,3798,0.018,0.0383,0.7923,0.217,-1.6022,1
202302,39150,Prescott Valley-Prescott, AZ,187,632483,0.0152,0.006,920,-0.0249,1.7381,87,-0.0335,1.0116,372,0.1411,-0.1058,8,-0.2,-0.6923,298,-0.1534,2.4651,455,0.2692,-0.2778,313,0.0125,0.0111,2027,-0.0084,-0.0133,821590,0.0022,-0.1781,1362,0.0493,0.3957,0.4946,0.1146,-1.3804,1
202302,29420,Lake Havasu City-Kingman, AZ,211,404626,0.0007,-0.0665,1081,-0.0653,1.5495,92,0,0.5794,412,0.1075,-0.1922,46,1.875,-0.303,346,-0.1082,1.7903,560,0.227,-0.4482,248,0.0037,0.0266,1653,-0.0009,-0.0416,486009,0.0014,-0.0341,1627,0.0106,0.137,0.5176,0.1233,-1.8739,1
202302,49740,Yuma, AZ,260,303950,0.0135,0.0253,306,-0.0948,1.0232,46,-0.2087,1.1163,184,0.0698,-0.2977,4,1,-0.3333,94,-0.06,1.2381,132,0.2767,-0.427,204,0.009,0.0784,1579,0.0059,0.0061,352647,0.0167,0.0459,435,-0.0301,0.1434,0.4304,0.1253,-1.0894,1
202302,43420,Sierra Vista-Douglas, AZ,338,299389,-0.0492,0.0072,327,-0.0268,0.9435,72,-0.1189,0.2565,128,-0.0303,-0.2558,10,1.5,0.6667,74,-0.1395,1.1765,164,0.0792,-0.3989,172,0.003,0.1131,1843,-0.0119,-0.0456,410870,-0.0056,-0.069,488,0.0041,0.0992,0.5008,0.0492,-1.1183,1
202302,22380,Flagstaff, AZ,347,741250,-0.0034,0.0988,275,-0.0143,1.1484,100,0.1275,0.8685,94,0.119,-0.2769,8,3,-0.3333,50,-0.0741,3.1667,82,-0.012,-0.5246,376,0.0241,0.0277,2033,-0.0067,-0.017,1079568,0.0449,0.039,355,-0.0194,0.1976,0.2982,0.0007,-1.0495,1
202302,43320,Show Low, AZ,412,499000,0.0573,0.0408,275,-0.0804,0.8059,96,0.0787,1.2069,74,0.3214,-0.3934,2,0,-0.5,50,-0.4048,0.6667,46,0.0964,-0.3453,273,0.0112,0.0385,1882,-0.0004,0.0221,571241,0.0114,-0.0603,317,-0.0649,0.4376,0.1658,0.0267,-0.2915,1
202302,37740,Payson, AZ,563,473500,0.0244,0.0786,193,-0.0875,0.8738,85,-0.0257,1.2434,66,0,-0.3889,0,-1,-1,36,-0.3571,0.3846,101,0.4565,-0.2972,290,0.0235,0.0181,1701,0.0331,0.0698,623025,0.0956,0.0536,289,0.0285,0.1776,0.5207,0.1945,-0.8676,1
202302,35700,Nogales, AZ,733,337225,0.022,-0.2409,162,-0.0386,0.5961,81,-0.0242,0.3879,50,-0.1667,-0.359,0,,-1,28,-0.0667,0.75,64,0.2427,-0.4921,197,-0.0033,-0.0019,1763,-0.0107,-0.199,537429,-0.0049,-0.1955,230,0.0246,0.02,0.3951,0.0894,-0.8463,1
202302,40940,Safford, AZ,814,330375,0.1049,0.0422,43,-0.2037,0.1622,92,-0.2391,0.3864,22,0.8333,-0.1538,0,,,10,-0.5455,0.25,37,0.4038,0.587,174,0.0589,0.0806,1847,-0.051,-0.0558,347112,-0.0693,-0.0267,79,-0.0063,0.3083,0.8488,0.3674,0.2272,0
202301,38060,Phoenix-Mesa-Chandler, AZ,11,479495,0.0097,-0.0391,13489,-0.0881,1.904,74,0.0571,0.9474,7020,0.3743,-0.065,346,0.1849,-0.4383,7802,0.1974,4.7368,5546,0.0562,-0.3843,266,0.0022,0.012,1917,0.0105,-0.0364,758688,0.0492,-0.0705,19030,-0.0546,0.3777,0.4111,0.0562,-1.5279,1
202301,46060,Tucson, AZ,53,377000,0.0053,0.0329,2370,-0.0872,0.7397,62,0.025,0.3667,1268,0.4541,-0.1145,42,-0.25,-0.6818,1080,0.1739,1.9032,1363,0.0469,-0.3516,219,0.0034,0.0748,1814,0.0022,-0.0253,524782,0.0328,0.0474,3731,-0.0422,0.0779,0.5752,0.0737,-0.9681,0
202301,39150,Prescott Valley-Prescott, AZ,187,623000,-0.0032,0.0048,944,-0.0695,1.4254,90,0.1188,0.5169,326,0.7717,0.1014,10,-0.1667,-0.5,352,0.2571,2.1429,359,-0.1082,-0.3349,309,0.0091,0.0361,2045,0.0022,0.0027,819826,0.0176,-0.1386,1298,-0.0798,0.4042,0.38,-0.0165,-1.0056,1
202301,29420,Lake Havasu City-Kingman, AZ,211,404353,-0.0016,-0.0496,1157,-0.0785,1.2676,92,0.0575,0.3731,372,0.4762,-0.1058,16,-0.3333,-0.4286,388,0.3662,2.0313,456,-0.0022,-0.4685,247,-0.0029,0.0222,1655,0.0132,-0.0475,485315,0.0161,-0.0449,1610,-0.0585,0.1786,0.3943,0.0301,-1.2881,1
202301,49740,Yuma, AZ,260,299900,-0.0167,0.0496,338,-0.0903,1.2204,58,-0.0574,0.7424,172,0.6538,-0.2833,2,-0.5,-0.75,100,0.4706,2.5714,103,0.0957,-0.4663,202,0.0051,0.0926,1570,-0.0025,-0.0157,346862,-0.0067,0.0293,448,-0.0366,0.2986,0.3052,0.0518,-0.9646,0
202301,43420,Sierra Vista-Douglas, AZ,338,314870,0.0522,0.0971,336,-0.0655,0.8536,82,0.1233,0.038,132,0.1786,-0.175,4,-0.5,0,86,0.1316,0.6538,152,0.0899,-0.3964,171,-0.0051,0.1103,1865,0.032,-0.0452,413193,0.0221,-0.045,486,-0.0212,0.1187,0.4516,0.0644,-0.9352,0
202301,22380,Flagstaff, AZ,347,743750,0.0439,0.106,279,-0.1571,1.0821,88,0.1689,0.6971,84,0,-0.16,2,,-0.8333,54,0.2273,1.7,83,-0.0119,-0.4196,367,0.0137,-0.0309,2047,0.0212,-0.008,1033136,0.0545,-0.0147,362,-0.1204,0.2684,0.2975,0.0437,-0.7697,0
202301,43320,Show Low, AZ,412,471975,-0.0366,0.0283,299,-0.0584,1.0306,89,0.141,0.5214,56,-0.2632,-0.4815,2,,-0.75,84,0.1053,2.5,42,-0.1531,-0.3615,270,-0.0222,0.0379,1883,-0.0314,0.0267,564792,-0.0447,-0.042,339,-0.0763,0.6143,0.139,-0.0155,-0.3031,0
202301,37740,Payson, AZ,563,462200,-0.0267,0.0158,212,-0.1224,1.1364,88,0.0938,0.3462,66,1.0625,-0.2826,2,,-0.5,56,0.1667,2.5,69,-0.0676,-0.3894,284,-0.0059,0.1077,1647,-0.0312,-0.0591,568655,-0.0226,-0.1119,281,-0.1038,0.3231,0.3262,0.0192,-0.8152,0
202301,35700,Nogales, AZ,733,329975,0.0002,-0.2235,169,0.0212,0.6683,83,0.051,0.2313,60,0.3636,-0.1667,0,,,30,0.875,0.875,52,-0.0463,-0.5318,197,0.0371,0.1459,1782,-0.0119,-0.2226,540077,-0.0067,-0.2023,224,0.0275,0.0718,0.3056,-0.0216,-0.7835,1
202301,40940,Safford, AZ,814,299000,0.024,0,54,-0.1692,0.35,120,0.2025,0.4938,12,0,-0.4,0,,,22,0.375,1.75,26,0.1304,0.0833,165,0.0225,0.142,1947,0.0553,-0.0333,372974,0.048,0.1273,79,-0.1023,0.2742,0.4815,0.1276,-0.1185,0
202212,38060,Phoenix-Mesa-Chandler, AZ,11,474900,-0.0044,-0.0248,14792,-0.1473,1.654,70,0.2069,0.9444,5108,-0.1153,-0.2462,292,0.2373,-0.4823,6516,-0.4226,2.526,5251,-0.0677,-0.4746,265,-0.0064,0.0269,1897,-0.0068,-0.0484,723091,0.0082,-0.0778,20128,-0.1238,0.2908,0.355,0.0303,-1.4383,1
