month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,31080,Los Angeles-Long Beach-Anaheim, CA,2,973500,0.0373,0.0258,9824,-0.0699,0.51,53,-0.2336,0.7213,6256,0.0286,-0.3309,302,0.5895,-0.4983,2172,-0.1347,1.3712,6386,0.3583,-0.3205,615,0.0188,0.0114,1736,0.0188,0.0215,2409804,0.104,-0.0441,16129,0.0569,0.0165,0.65,0.2049,-0.7945,0
202302,41860,San Francisco-Oakland-Berkeley, CA,12,1008750,0.0309,0.0169,3089,0.034,0.2444,33,-0.4803,0.7143,2598,0.1526,-0.3941,72,-0.122,-0.4545,642,-0.0446,0.8772,2167,0.5082,-0.372,703,0.0404,-0.04,1557,0.0027,0.0716,1759086,0.0698,0.0025,5227,0.1935,-0.1175,0.7015,0.2206,-0.6885,0
202302,40140,Riverside-San Bernardino-Ontario, CA,16,559900,-0.0002,0.018,8071,-0.0868,0.9472,66,-0.0959,1.0952,4390,0.103,-0.3043,312,0.5446,-0.4409,2388,-0.1182,2.0853,4737,0.2753,-0.3372,316,0.0029,0.0337,1839,-0.0053,-0.0077,759179,0.0216,-0.0026,12801,0.0203,0.1343,0.5869,0.1666,-1.1372,1
202302,41740,San Diego-Chula Vista-Carlsbad, CA,19,932450,0.0276,0.097,2287,-0.1194,0.5413,38,-0.3056,0.4151,1894,0.0522,-0.3269,136,0.5111,-0.6284,648,-0.1123,2.1154,2210,0.3051,-0.2398,573,0.0396,0.0333,1682,-0.005,0.0295,1642029,0.0467,-0.0784,4465,0.0423,0.0177,0.9663,0.3143,-0.9929,0
202302,40900,Sacramento-Roseville-Folsom, CA,29,604500,0.0162,-0.0376,2266,-0.1443,0.4788,52,-0.2256,1.06,1742,0.2443,-0.3451,72,0.2857,-0.3684,706,-0.1922,0.8677,1861,0.41,-0.3068,332,0.0107,-0.041,1857,0.0177,0.0314,893049,0.0362,-0.0481,4111,0.0336,-0.0282,0.8212,0.3228,-0.9307,1
202302,41940,San Jose-Sunnyvale-Santa Clara, CA,37,1399500,0.0374,0.0317,831,0.0091,0.2987,30,-0.4444,1.5532,876,0.1806,-0.4326,38,1.1111,-0.0952,204,0.1591,2.4,767,0.6839,-0.4222,862,0.0467,0.0083,1728,0.0257,0.0805,2033129,0.0413,0.0592,1598,0.2495,-0.1812,0.9235,0.3701,-1.1523,1
202302,23420,Fresno, CA,71,426500,-0.008,0.0846,845,-0.1404,0.7623,48,-0.1933,0.6134,620,0.1969,-0.225,32,0.3333,-0.5,262,-0.1656,1.9773,799,0.2879,-0.263,242,0.0087,0.0254,1763,-0.0098,0.0384,567938,0.0372,0.0649,1633,0.0222,0.0549,0.945,0.3142,-1.3147,1
202302,12540,Bakersfield, CA,83,374878,-0.0002,0.0728,1174,-0.1103,0.5737,50,-0.25,0.8333,766,0.1713,-0.2263,32,-0.0588,-0.3043,298,-0.2587,1.0135,415,0.2833,-0.3478,214,0.0048,0.0144,1716,-0.0146,0.0438,424612,0.0011,0.016,1572,-0.032,0.1446,0.3531,0.1083,-0.4988,0
202302,37100,Oxnard-Thousand Oaks-Ventura, CA,85,934750,0.0698,0.0433,629,-0.111,0.6338,44,-0.3556,0.5818,502,0.1306,-0.336,10,-0.4444,-0.7619,178,0.0349,1.9667,569,0.4703,-0.3165,505,0.0082,0.0132,1893,0.0187,0.0187,1813465,0.0677,-0.134,1195,0.0913,-0.0165,0.9046,0.3576,-1.2577,1
202302,44700,Stockton, CA,94,542598,0.0058,-0.0397,672,-0.158,0.7022,54,-0.1756,0.9636,468,0.1038,-0.3015,30,0.3636,-0.3478,210,-0.2446,2.1818,599,0.4592,-0.2998,295,-0.014,-0.081,1867,0.0082,0.0753,633219,0.0151,-0.0969,1271,0.0513,0.0152,0.892,0.3773,-1.2765,1
202302,42220,Santa Rosa-Petaluma, CA,116,949475,0.0349,-0.0053,398,-0.0257,0.3537,74,-0.2011,1.0276,318,0.3826,-0.343,10,4,-0.1667,108,-0.069,2.6,223,0.1097,-0.3417,517,0.0088,-0.0019,1883,0.0277,-0.0024,1803107,0.0094,-0.0082,626,0.0322,-0.0095,0.559,0.0682,-0.5906,1
202302,33700,Modesto, CA,119,489499,0.0013,0,417,-0.0856,0.4955,52,-0.1523,0.807,324,0.35,-0.3106,8,-0.3333,-0.6364,134,-0.029,1.0303,358,0.1937,-0.3506,284,0.0092,-0.014,1737,0.0145,-0.0014,598172,0.0043,-0.0239,773,0.0239,-0.0732,0.8583,0.2008,-1.1183,1
202302,46700,Vallejo, CA,137,599000,0,0.011,397,-0.1705,0.8926,59,-0.1862,1.7442,352,0.2308,-0.2348,28,0.2727,-0.2222,120,-0.2941,2.3333,342,0.2532,-0.1671,331,-0.001,-0.0613,1778,-0.0017,0.037,675007,-0.0063,-0.0091,738,-0.0153,0.1913,0.8613,0.2912,-1.0958,1
202302,42200,Santa Maria-Santa Barbara, CA,142,1343750,0.075,-0.0888,283,-0.0035,0.3738,46,-0.3872,0.4677,202,0.2169,-0.2348,8,,0.3333,64,-0.0303,2.2,147,0.1057,-0.3122,751,0.1251,0.0668,2030,-0.0088,-0.013,3922010,0.0485,-0.2586,423,0.0292,0.0305,0.5177,0.0511,-0.5163,0
202302,47300,Visalia, CA,149,407498,0.0093,-0.024,483,-0.0835,0.7692,65,-0.0819,1.0156,282,0.1949,-0.1943,36,1.25,0.2857,148,-0.0133,1,434,0.2439,-0.2963,231,0.0212,0.0258,1843,0.0068,-0.0309,510371,0.0212,-0.2012,913,0.0482,0.0322,0.8975,0.2362,-1.3589,1
202302,41500,Salinas, CA,154,1241250,0.2653,0.2199,301,-0.0681,0.5357,63,-0.2188,1.381,190,0.4615,-0.246,4,,0,78,0.1818,1.1667,183,0.6441,-0.3388,648,0.0806,0.0331,1914,0.0239,0.0632,2725104,0.1105,-0.0539,484,0.1077,0.0276,0.6063,0.2627,-0.8019,1
202302,42020,San Luis Obispo-Paso Robles, CA,180,949000,-0.0032,-0.0267,341,-0.0326,0.6161,74,-0.0545,0.6857,196,0.1136,-0.2899,0,-1,-1,100,0.1111,1.9412,215,0.4052,-0.2809,541,0.0035,0.0576,1806,0.0033,-0.0596,1329969,0.0366,-0.2771,557,0.0976,0.1064,0.6305,0.1965,-0.7866,0
202302,42100,Santa Cruz-Watsonville, CA,194,1316250,0.0237,0.043,176,0.0323,0.6526,65,-0.1844,2.625,128,1.1333,-0.2099,0,,-1,38,0.3571,1.7143,93,0.1212,-0.3097,734,0.0129,0.0254,1691,-0.0108,0.0625,1658278,0.0091,0.0272,269,0.0762,0.1305,0.5256,0.0417,-0.7326,1
202302,17020,Chico, CA,215,427113,0.011,-0.0508,342,-0.1035,0.6247,82,-0.0468,1.2639,134,0.0806,-0.3431,2,,,90,0,0.125,149,0.2574,-0.3493,266,0.0013,-0.06,1709,0.0019,0.0326,519039,0.0244,-0.0313,493,-0.0199,0.1244,0.4357,0.1251,-0.6522,1
202302,32900,Merced, CA,218,439500,0.0421,-0.0222,300,-0.095,0.5424,80,0.0191,1.0779,146,0.2586,-0.3967,4,1,-0.6,70,0,0.9444,166,0.4888,-0.4829,253,-0.0007,-0.0487,1788,0.0461,0.1416,549894,0.0803,-0.2745,455,0.026,-0.12,0.5533,0.217,-1.0971,1
202302,39820,Redding, CA,237,425000,0.038,-0.1099,369,-0.0683,0.1887,73,-0.1257,0.7914,192,0.3151,-0.3557,8,1,-0.5,96,-0.1429,0.3714,17,0.0625,-0.4925,251,0.0102,-0.0084,1736,0,-0.0532,605530,0.0219,-0.0573,388,-0.0571,0.1312,0.0461,0.0057,-0.0619,1
202302,49700,Yuba City, CA,286,459500,0.0011,-0.0325,281,0,0.8763,56,-0.26,0.7344,146,-0.0641,-0.2981,8,1,-0.4286,66,-0.1081,0.4348,157,0.252,-0.3875,258,0.0008,-0.0235,1787,-0.0054,0.0155,507856,-0.006,-0.0454,442,0.0874,0.0996,0.5579,0.1123,-1.1511,1
202302,21700,Eureka-Arcata, CA,299,468725,-0.0194,-0.1063,263,-0.0349,0.6055,101,-0.0074,0.5245,92,0.15,-0.1481,0,,-1,50,-0.2424,0.6667,5,0,1.5,311,-0.0032,-0.0135,1518,0.0071,-0.0483,616553,-0.0182,-0.2607,268,-0.0325,0.6193,0.019,0.0007,0.0068,1
202302,20940,El Centro, CA,318,349000,0.0132,0.2076,127,-0.2063,0.8955,71,0.0846,1.6857,56,-0.0667,-0.3171,4,0,1,26,-0.35,1.6,98,0.1073,-0.1799,208,0.0063,0.1071,1669,0.0152,0.0699,361727,0.0077,0.1596,229,-0.0692,0.2452,0.7717,0.2185,-1.0119,1
202302,34900,Napa, CA,337,1409250,0.1388,-0.06,182,0.0522,0.2648,103,-0.012,0.2773,96,0.2,-0.3425,4,,1,46,0.5333,1.0909,61,0.4186,-0.2989,720,-0.0043,-0.0615,2119,0.018,0.0044,3028674,0.0124,-0.0307,245,0.1452,0.0494,0.3361,0.0868,-0.2702,0
202302,31460,Madera, CA,354,471750,0.0059,0.0091,314,-0.0398,0.6457,70,-0.2191,0.8289,124,0.1698,-0.3111,4,,-0.5,92,0.2105,1.3,180,0.4575,-0.3739,241,-0.0127,0.0175,1975,0.0377,-0.0484,604241,0.0273,-0.0776,490,0.0878,0.0404,0.5742,0.1959,-0.935,0
