month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,46520,Urban Honolulu, HI,70,781250,-0.0396,0.1278,2451,0.1516,0.7178,66,-0.0435,0.3608,750,0.0054,-0.3182,16,0,-0.6667,364,-0.0471,1.1412,425,-0.3315,-0.7065,651,-0.0283,-0.0763,1123,-0.0064,0.1985,1253202,-0.0608,-0.0716,2875,0.0405,-0.0007,0.1732,-0.1252,-0.8408,0
202302,25900,Hilo, HI,222,599250,-0.0488,0.1524,747,-0.004,0.6425,84,0.003,0.5701,244,-0.024,-0.3297,4,-0.6667,-0.8462,200,-0.0566,0.6949,330,0.0394,-0.4158,452,-0.0232,0.1118,1445,-0.0082,0.0257,1305048,-0.0185,-0.0991,1076,0.0108,0.0565,0.4414,0.0184,-0.7995,0
202302,27980,Kahului-Wailuku-Lahaina, HI,274,1395000,0,0.0772,524,0.0165,0.4562,76,0.1176,0.4476,160,-0.1398,-0.4737,4,-0.5,-0.6667,92,-0.0213,1.0909,283,0.1575,-0.4346,976,-0.006,-0.0333,1500,-0.0258,-0.0349,2725509,0.0003,-0.0387,799,0.0569,-0.0677,0.5406,0.0658,-0.8516,0
202302,28180,Kapaa, HI,498,1582000,0.034,0.1686,204,-0.0193,0.3172,116,0.0175,0.4591,64,0.3913,-0.3043,0,-1,-1,36,-0.25,0.5,79,0.0129,-0.5355,1026,0.017,0.0617,1671,-0.0057,0.0736,2875553,0.0098,-0.0402,285,-0.0018,-0.126,0.3857,0.0123,-0.7081,0
202301,46520,Urban Honolulu, HI,70,813500,-0.0073,0.1807,2128,0.0416,0.5331,69,0.0455,0.15,746,0.1804,-0.1748,16,-0.2,-0.5556,382,-0.0637,1.2209,635,-0.2368,-0.5247,670,0.003,-0.0372,1130,-0.0007,0.2206,1334268,0.0041,-0.0424,2763,-0.039,0.0214,0.2984,-0.1088,-0.6641,0
202301,25900,Hilo, HI,222,630000,0.0518,0.1776,750,-0.0366,0.64,84,0.0469,0.4693,250,0.0776,-0.2284,12,2,-0.5,212,0.325,1.12,317,0.0259,-0.4319,462,0.0436,0.1317,1457,0.0187,-0.0009,1329581,0.1434,-0.1075,1065,-0.0107,0.0488,0.4229,0.0258,-0.7981,0
202301,27980,Kahului-Wailuku-Lahaina, HI,274,1395000,0.0608,0.0928,515,0.0383,0.4841,68,0.0074,0.271,186,0.0333,-0.2119,8,,-0.3333,94,0.119,1.35,245,-0.002,-0.4906,982,-0.0128,-0.0183,1540,0.0512,-0.0241,2724782,0.0527,-0.0393,756,0.0237,-0.0876,0.4748,-0.0192,-0.9085,0
202301,28180,Kapaa, HI,498,1530000,-0.0097,0.1333,208,-0.0166,0.2278,114,0.0654,0.5405,46,-0.1786,-0.5741,2,-0.5,-0.75,48,0.3333,1.4,78,0.0473,-0.4935,1009,0.0691,0.108,1680,-0.0317,0.066,2847728,0.0596,0.0015,285,-0.0035,-0.1149,0.3735,0.0228,-0.5318,0
202212,46520,Urban Honolulu, HI,70,819500,-0.0018,0.1766,2043,0.0017,0.3758,66,0.2,0.2394,632,-0.2255,-0.244,20,0.25,-0.4444,408,-0.2093,1.55,832,-0.114,-0.4486,668,-0.0008,-0.0072,1131,-0.0088,0.1908,1328757,0.0094,-0.051,2875,-0.0357,-0.0405,0.4072,-0.0532,-0.6089,0
202212,25900,Hilo, HI,222,599000,-0.0136,0.0981,778,0.0257,0.6501,80,0.0959,0.3445,232,-0.1655,-0.2611,4,1,-0.75,160,-0.2727,0.7778,309,-0.0064,-0.4654,443,0.0082,0.085,1430,-0.0212,-0.0121,1162843,0.0028,-0.1325,1076,0.0023,0.0199,0.3972,-0.0128,-0.8287,0
202212,27980,Kahului-Wailuku-Lahaina, HI,274,1315000,-0.0113,0.0628,496,0.0759,0.4588,68,-0.0493,0.3366,180,-0.0426,-0.2683,0,-1,-1,84,-0.0233,1.8,245,-0.0631,-0.5224,994,0.0484,0.0468,1465,-0.0176,-0.0351,2588488,0.0296,0.0099,738,0.0307,-0.1307,0.494,-0.0733,-1.0149,1
202212,28180,Kapaa, HI,498,1545000,0.0198,0.0312,211,0.0243,0.1788,107,0.1293,0.6589,56,-0.125,-0.3171,4,1,0,36,0.3846,1.5714,74,-0.039,-0.5735,943,-0.0084,0.0749,1735,0.0191,0.0307,2687551,0.0563,-0.0745,286,0.0106,-0.1887,0.3507,-0.0231,-0.6186,0
202211,46520,Urban Honolulu, HI,70,820975,-0.0109,0.1563,2040,0.054,0.3007,55,0.0784,0.2222,816,-0.0423,-0.1873,16,0.3333,-0.6522,516,-0.0851,1.0976,939,-0.1289,-0.422,669,0.0146,0.0111,1141,0.0009,0.1413,1316376,-0.0109,-0.0525,2982,0.0005,-0.0661,0.4604,-0.0967,-0.5756,0
202211,25900,Hilo, HI,222,607250,0.0122,0.1512,759,0.0433,0.5464,73,0,0.2586,278,-0.0479,-0.2102,2,-0.75,-0.8889,220,-0.0179,1.037,311,-0.0772,-0.45,439,-0.0012,0.1039,1461,0.0031,0.0057,1159630,-0.0154,-0.1555,1074,0.008,0.0175,0.41,-0.0535,-0.7429,0
202211,27980,Kahului-Wailuku-Lahaina, HI,274,1330000,-0.0466,0.0535,461,0.0822,0.4589,71,-0.1341,0.4059,188,0.1463,-0.2295,6,-0.25,-0.5,86,0.075,1.3889,262,-0.1075,-0.2582,949,0.0061,0.0533,1491,-0.0263,0.12,2513973,0.0035,0.0341,716,0.0056,0.0687,0.5672,-0.1205,-0.5483,0
202211,28180,Kapaa, HI,498,1515000,0.0134,-0.0234,206,0.0148,0.1705,95,0.0188,0.1844,64,0.3333,-0.3043,2,,,26,-0.5667,0.0833,77,0,-0.5979,951,-0.0503,0.0804,1703,0.0942,0.0176,2544280,0.0609,-0.0815,283,0,-0.2331,0.3738,-0.0055,-0.7143,0
202210,46520,Urban Honolulu, HI,70,830000,-0.0098,0.1608,1935,0.088,0.2301,51,-0.0097,0.1591,852,-0.0779,-0.214,12,-0.4545,-0.8,564,0.1146,1.1364,1078,-0.0964,-0.3333,659,-0.0297,0.0198,1140,0.0033,0.1057,1330863,-0.0372,-0.0379,2980,0.0052,-0.0682,0.5571,-0.1137,-0.4709,0
202210,25900,Hilo, HI,222,599950,-0.0401,0.0908,727,0.0699,0.4657,73,0.0355,0.4898,292,-0.1361,-0.1512,8,-0.3333,-0.5,224,-0.1318,1.0741,337,-0.1166,-0.4088,440,0.0399,0.1126,1457,-0.0015,0.0101,1177805,-0.01,-0.0435,1065,0.0028,-0.0037,0.4635,-0.0979,-0.6856,0
202210,27980,Kahului-Wailuku-Lahaina, HI,274,1395000,-0.021,0.1674,426,-0.0512,0.2348,82,0.0314,0.5472,164,-0.1183,-0.2807,8,0.3333,1,80,-0.1837,0.6667,293,-0.1026,-0.1433,943,-0.0166,0.0667,1532,0.0092,0.0635,2505145,-0.0356,0.0297,712,-0.0831,0.0455,0.6878,-0.0394,-0.3035,0
