month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,19780,Des Moines-West Des Moines, IA,79,369945,0.035,0.0573,1965,-0.0712,0.517,95,0.044,0.2459,884,0.1571,-0.234,134,0.2182,-0.6941,678,-0.0838,0.3837,1522,0.3004,-0.3577,237,0.0321,0.0365,1562,0.0063,0.0343,421154,0.0321,0.0873,3480,0.0599,-0.0457,0.7745,0.2213,-1.0548,1
202302,19340,Davenport-Moline-Rock Island, IA-IL,134,208700,0.057,0.6563,533,-0.0335,0.0596,68,-0.0967,-0.1342,288,0.2522,-0.1111,2,-0.5,-0.6667,94,-0.2769,-0.2295,386,0.1629,-0.3104,126,0.0565,0.3839,1504,-0.0301,0.0432,253164,0.0064,0.4021,914,0.034,-0.1386,0.7233,0.1222,-0.3881,1
202302,16300,Cedar Rapids, IA,171,317245,0.0578,0.2217,496,-0.079,0.6544,72,-0.1118,0.0214,254,0.0672,-0.0929,8,0.3333,-0.84,110,-0.127,0.8333,408,0.2311,-0.2736,151,0.0109,0.0232,1663,-0.0024,0.0708,329776,0.0272,0.1109,884,0.0412,0.0499,0.8224,0.2072,-1.0507,1
202302,26980,Iowa City, IA,234,357450,-0.0068,0.1313,611,0.104,0.0124,41,-0.28,-0.1563,146,-0.2626,-0.3241,16,,3,26,-0.5,2.25,128,0.4545,-0.4349,179,0.0033,0.0569,2113,-0.0033,0.1264,422099,0.0071,0.1328,665,0.1028,-0.0725,0.2097,0.0505,-0.166,0
202302,47940,Waterloo-Cedar Falls, IA,244,257225,0.1775,0.41,163,-0.1096,0.1444,59,-0.223,-0.0669,108,-0.1,-0.2603,6,-0.5714,-0.5,38,-0.3667,1.375,181,0.1683,-0.2722,142,0.0982,0.0253,1597,0.0061,0.1631,279394,0.0626,0.0896,342,0.0194,-0.1186,1.1108,0.2642,-0.6357,0
202302,43580,Sioux City, IA-NE-SD,301,308500,-0.014,0.074,197,-0.0126,0.7623,65,0.0116,0.74,102,0.2143,0.0851,0,,,46,0,1.3,57,0.2697,0.0865,146,0.0165,0.0235,2141,-0.0014,0.2628,403415,0.0184,0.0363,249,0.0226,0.5,0.2875,0.0639,-0.1788,0
202302,11180,Ames, IA,327,327975,0.0601,0.0943,144,-0.0828,0.1707,79,0.0292,0.0602,74,-0.0513,-0.26,6,0.5,-0.25,36,-0.0526,-0.3333,159,0.3376,-0.2662,221,0.0255,0.1028,1492,0.0169,0.012,404734,0.0778,0.2985,302,0.1165,-0.1091,1.1007,0.3459,-0.6554,0
202302,20220,Dubuque, IA,390,386850,0.0458,0.0091,91,-0.0474,0.3923,87,0.1757,0.6493,66,0.4348,-0.1538,0,,,14,-0.6111,2.5,19,0.7273,-0.1739,170,0.0333,0.0415,2273,0.0747,0.1665,413016,0.0698,0.1353,110,0.0429,0.2303,0.2099,0.0942,-0.1439,0
202302,22800,Fort Madison-Keokuk, IA-IL-MO,517,115375,0.011,0.3578,102,-0.0097,-0.0286,73,0.0175,-0.1983,32,-0.2727,0.4545,0,,,18,0.5,0.2857,49,0.1687,0.2763,76,0.0224,0.1367,1456,-0.0097,0.0454,137772,0.026,0.215,151,0.0747,0.0671,0.4755,0.0726,0.1136,0
202302,32380,Mason City, IA,558,249900,0.0699,0.7307,127,0.0242,0.0453,105,0.2029,0.1994,38,0.1875,-0.0952,0,,,8,-0.6,-0.3333,47,0.1325,-0.2598,124,0.0867,0.495,2023,-0.0094,0.101,356907,0.0609,0.8426,168,0.0467,-0.0175,0.3701,0.0354,-0.1526,1
