month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,16980,Chicago-Naperville-Elgin, IL-IN-WI,3,337500,0.0307,0.0402,12803,-0.0966,0.1079,47,-0.2419,0.1463,8310,0.1405,-0.2444,336,0.344,-0.3488,3058,-0.075,0.3273,10649,0.3383,-0.2972,193,0.0197,-0.0352,1707,0.004,0.0667,518465,0.0495,0.0029,23431,0.0599,-0.1188,0.8318,0.2703,-0.4794,0
202302,37900,Peoria, IL,130,130000,-0.0367,0.4461,474,-0.1871,-0.0903,67,-0.0466,0.1083,318,0.06,-0.1067,2,,,190,-0.1121,0.1875,463,0.3158,-0.1928,86,-0.0023,0.1092,1599,-0.0444,0.1992,209945,-0.0001,0.291,931,-0.0037,-0.154,0.9768,0.3733,-0.1241,0
202302,40420,Rockford, IL,157,154350,-0.064,0.1051,243,-0.2488,-0.0967,65,0.0361,0.5732,206,-0.019,-0.3397,2,0,-0.75,56,-0.3488,-0.3913,370,0.0948,-0.3055,104,0.0147,0.1102,1687,-0.0216,0.0422,233875,0.0583,0.1499,607,-0.0683,-0.2374,1.5206,0.4773,-0.4571,0
202302,16580,Champaign-Urbana, IL,199,224450,0.0985,0.4762,194,-0.1532,0.0184,70,-0.1254,0.0489,134,0.1167,-0.1299,4,,1,46,-0.1481,0.4375,226,0.2626,-0.1706,133,0.0466,0.1282,1770,0.0246,0.1836,300491,0.1011,0.1307,421,0.0332,-0.0908,1.168,0.3846,-0.2663,0
202302,44100,Springfield, IL,208,163050,0.0352,0.5648,146,-0.2234,0.0174,57,0,0.171,162,0.0519,-0.0241,0,,-1,56,-0.0968,0.2727,254,0.2067,-0.0912,107,0.0417,0.4221,1723,0.0419,0.1032,254081,0.0705,0.4188,402,0.0126,-0.0496,1.7397,0.62,-0.208,1
202302,14010,Bloomington, IL,259,354225,0.0795,1.3239,138,-0.0517,0.5896,61,-0.0316,0.225,134,0.2182,-0.0147,0,,,38,0.2667,1.1111,157,0.1336,-0.3362,137,0.0734,0.4824,2274,-0.0227,0.3154,367769,0.0424,0.5337,298,0.0605,-0.0802,1.1418,0.1866,-1.5923,1
202302,36837,Ottawa, IL,284,165725,-0.0076,0.2627,204,-0.1053,0.0226,94,0.0872,0.2026,88,0.1892,-0.1373,0,-1,-1,50,-0.1667,0.0417,119,0.2526,-0.3021,105,-0.0559,0.0731,1650,0.0364,0.1555,279251,0.0146,0.3564,322,-0.0046,-0.1334,0.5833,0.1667,-0.2713,0
202302,16060,Carbondale-Marion, IL,298,127700,-0.0056,0.7049,240,-0.1522,-0.2373,99,0.125,1.1639,82,-0.0465,-0.2807,4,,,38,-0.2692,-0.1739,160,0.1232,-0.2683,85,-0.0106,0.4134,1541,-0.0018,0.2201,228013,0.0417,0.415,395,-0.0718,-0.2633,0.666,0.1633,-0.0283,1
202302,19500,Decatur, IL,362,117200,-0.0124,0.3037,122,-0.1066,-0.1227,59,-0.0745,-0.0167,74,0.0571,-0.2745,0,,,48,0.3333,0.6,147,0.4627,2.3034,76,-0.0097,0.1405,1605,-0.0176,0.1126,189880,0.0717,0.3104,269,0.1725,0.4712,1.2099,0.4709,0.8886,0
202302,28100,Kankakee, IL,391,180925,-0.007,0.3454,137,-0.0455,0.046,61,-0.1066,0.8409,98,0.96,-0.0755,0,,-1,42,0,0.9091,120,0.3657,-0.0947,123,0.0746,0.2823,1485,-0.0047,-0.002,223577,0.0037,0.1802,252,0.1007,-0.0473,0.8755,0.2636,-0.136,0
