month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,26900,Indianapolis-Carmel-Anderson, IN,34,299500,0.0345,0.0276,2572,-0.1395,0.8621,61,-0.024,0.6053,2290,0.1964,-0.0514,56,0.1667,-0.6,1106,-0.1236,1.7929,2893,0.2246,-0.122,146,0.006,0.0291,2089,0.0195,0.0454,392801,0.0343,0.0328,5439,0.0167,0.1608,1.1248,0.3345,-1.2608,1
202302,23060,Fort Wayne, IN,125,319600,0.0311,0.1049,375,-0.1073,0.6283,59,-0.1522,1.5161,342,0.1633,-0.2047,2,-0.8,-0.8,112,-0.2222,0.8667,46,-0.1495,-0.2353,167,0.0424,0.1016,1861,0.0156,0.0369,368481,0.0505,0.1184,419,-0.1143,0.4406,0.1215,-0.006,-0.1372,1
202302,21780,Evansville, IN-KY,158,270900,0.0434,0.3297,336,-0.1396,0.75,64,-0.0153,0.1953,272,0.088,-0.049,0,-1,-1,126,-0.2588,1.4231,24,-0.0769,-0.4545,135,-0.0018,0.1527,2012,0.0261,0.138,335882,0.0858,0.2956,357,-0.1387,0.5191,0.0714,0.0048,-0.1577,0
202302,43780,South Bend-Mishawaka, IN-MI,160,294425,-0.0177,0.0259,371,-0.1062,0.6614,66,-0.015,0.5322,270,0.1157,-0.0426,2,0,-0.75,132,-0.0571,1.8696,115,0.2568,0.1111,155,0.0066,0.0622,1767,-0.0215,-0.0372,422711,0.0191,0.0564,483,-0.0417,0.4621,0.3104,0.0896,-0.1537,0
202302,29200,Lafayette-West Lafayette, IN,205,304900,0.0216,0.1684,142,-0.1598,0.4792,59,-0.029,0.2787,138,-0.0417,-0.1786,0,,,58,-0.0645,1.0714,47,-0.0874,0.175,156,-0.0103,0.0729,2033,-0.0037,0.1128,340912,-0.0099,-0.0036,188,-0.1474,0.3926,0.331,0.0263,-0.0857,0
202302,21140,Elkhart-Goshen, IN,233,260175,0.0286,0.318,143,-0.0686,1.1429,47,-0.2051,0.1847,146,0.4898,0.3036,0,,-1,46,-0.08,2.8333,33,-0.058,0.3265,147,0.0266,0.2055,1737,-0.0138,0.0816,350316,0.0245,0.2107,176,-0.0613,0.9341,0.2281,0.0026,-0.1404,0
202302,45460,Terre Haute, IN,240,152950,-0.0222,0.3479,253,-0.1156,0.3836,75,0.0274,-0.026,156,0.1304,0.4444,2,,,46,-0.3947,0.5333,179,0.2832,-0.0867,93,-0.0007,0.1838,1602,0.0013,0.0314,208139,0.023,0.1185,432,0.0249,0.1489,0.7089,0.2203,-0.3651,0
202302,14020,Bloomington, IN,251,332950,0.0408,-0.0552,226,-0.0174,0.3333,44,-0.4534,-0.1927,142,0.127,0.0597,2,0,,66,0.1379,0.7368,143,0.1917,-0.2312,179,0.0119,-0.0421,1799,0.0064,-0.0689,400809,0.0391,-0.1595,366,0.0517,0.0383,0.6327,0.111,-0.4646,0
202302,34620,Muncie, IN,357,149500,-0.1069,0.3907,103,-0.1523,0.3919,55,-0.1648,-0.121,94,0.119,0.093,0,,,34,0,1.8333,50,0.3026,-0.161,90,-0.0396,0.1998,1642,0.0208,0.036,191549,0.0149,0.3191,150,-0.0597,0.1241,0.4806,0.1678,-0.3167,0
202302,33140,Michigan City-La Porte, IN,374,271950,0.0552,0.4427,157,-0.0515,0.4695,65,-0.0915,0.2344,92,0.0222,0.0952,2,,,58,0.16,2.2222,58,0.0265,-0.3446,132,0.0382,0.0364,2021,0.0389,0.1908,433692,0.0062,0.1906,215,-0.0138,0.1257,0.3706,0.0282,-0.4604,0
202302,29020,Kokomo, IN,419,158675,0.0631,0.6081,81,-0.3136,0.0125,59,-0.1069,0.0636,76,-0.05,-0.1364,2,0,-0.5,34,-0.2273,0.4167,46,0.3143,-0.1481,107,0.0386,0.4363,1532,0.0299,0.148,189569,0.0506,0.5474,126,-0.1743,-0.0564,0.5679,0.2713,-0.1071,1
202302,18020,Columbus, IN,433,339900,0.0013,-0.0056,101,-0.0607,0.4889,60,-0.2979,0.161,86,0.72,-0.1887,0,,-1,48,0.1429,1.4,82,0.2835,-0.2163,150,0.0636,0.1668,2043,-0.0487,0.0719,417312,0.0848,0.2007,180,0.0746,0.0619,0.8109,0.2175,-0.7298,0
202302,47700,Warsaw, IN,457,337250,0.0106,0.0873,90,0.0468,0.5169,44,-0.4068,-0.2424,68,0.36,0.3077,0,,,22,0,1.2,34,0.0152,-0.0694,156,-0.0083,-0.1648,1857,-0.0173,0.1302,482969,0.018,-0.1178,125,0.0506,0.2969,0.3743,-0.0117,-0.2359,0
202302,39980,Richmond, IN,496,151875,0.0617,0.3218,90,-0.1262,0.374,50,-0.2721,-0.1354,64,0.1034,0.28,2,,,22,-0.2667,0.375,80,0.3361,-0.0422,104,0.0158,0.2469,1706,0.083,0.1035,175782,-0.0123,0.1363,171,0.0557,0.1443,0.8833,0.3057,-0.3838,0
202302,31980,Marion, IN,502,74425,-0.0685,-0.0904,85,-0.0659,0.6832,59,-0.2159,0.0261,52,0.2381,0.2381,0,,,22,-0.1538,1.75,36,0.0441,-0.1446,57,-0.0231,-0.1187,1441,-0.0089,0.0066,110832,-0.0196,-0.0177,121,-0.036,0.2888,0.4176,0.044,-0.4041,0
202302,27540,Jasper, IN,559,250000,0.0663,-0.0301,59,-0.0859,0.6027,71,0.0071,0.0216,24,-0.2941,0,0,,,14,-0.2222,0.4,2,-0.2,0.3333,127,0.0459,0.165,1790,-0.0146,-0.1422,318435,0.0669,0.0018,61,-0.0902,0.5921,0.0342,-0.0049,-0.0069,0
202302,13260,Bedford, IN,608,239900,-0.0295,0.0174,79,-0.1865,0.3772,72,-0.1637,0.1,38,-0.1364,0.1875,0,,-1,24,-0.0769,0.5,47,-0.0505,-0.0962,145,-0.0169,0.1451,1703,-0.0269,0.0096,298899,-0.0523,0.1892,126,-0.1315,0.1514,0.5987,0.0858,-0.3136,0
202302,35220,New Castle, IN,620,236725,0,0.4459,66,-0.0368,0.0077,86,0.0058,-0.0945,36,-0.0526,-0.3077,0,,,16,0.6,0.6,40,0.1111,-0.3103,131,0.0866,0.315,1785,0.0055,0.0055,253183,-0.65,0.1648,106,0.0293,-0.1388,0.6107,0.0813,-0.2816,0
202302,28340,Kendallville, IN,633,273749,-0.0044,0.4087,56,0.098,1.1538,66,-0.0399,0.3184,46,1.0909,0.5333,0,,,16,-0.3333,1.6667,7,0.1667,-0.5333,164,-0.0147,0.3619,1673,-0.0105,-0.0019,367038,-0.0334,0.0913,63,0.087,0.5244,0.125,0.0074,-0.4519,0
202302,42980,Seymour, IN,646,260950,-0.0075,0.1728,43,-0.2056,0.5455,70,-0.0445,0.2078,26,-0.35,-0.2353,0,,,10,0,1.5,49,0.2564,0.0426,145,0.027,0.2004,2030,0.0193,0.0343,299384,0.0071,0.0797,92,-0.0108,0.2282,1.1529,0.424,-0.5561,0
202302,38500,Plymouth, IN,649,256225,-0.0722,-0.1165,50,-0.1304,0.2346,101,0.0747,0.6316,38,1.1111,0.2667,0,,,10,-0.4444,0.6667,15,0.7059,-0.4082,139,0.0254,-0.146,2088,-0.0317,0.0321,377178,-0.0024,-0.6243,63,-0.0308,-0.0079,0.29,0.1422,-0.3149,1
202302,12140,Auburn, IN,664,354807,0.0755,1.0628,43,-0.1748,1.2973,69,-0.035,1.1231,18,-0.4706,-0.1818,0,,,16,-0.3333,1,8,0.0667,0.4545,178,0.0124,0.6379,1892,0.0259,0.0323,364418,0.0866,0.2999,51,-0.1441,1.0612,0.1882,0.0426,-0.1091,1
202302,18820,Crawfordsville, IN,707,187475,-0.0261,0.0871,54,-0.2117,1.0769,73,-0.049,0.0582,38,0.1176,0,2,,,18,-0.25,2,52,0.3867,-0.2464,123,-0.0301,0.2421,1763,-0.0173,-0.0544,238439,-0.0371,0.0928,104,0.0146,0.1123,0.963,0.4155,-1.6909,1
202302,47180,Vincennes, IN,728,159500,0.1004,0.5212,48,-0.0306,0.092,76,0.0411,-0.2063,30,0.3636,0.0714,0,,,10,-0.1667,1.5,3,-0.2857,1.5,89,0.0311,0.1431,1728,0.0335,0.1174,215921,0.057,0.3658,51,-0.0192,0.1461,0.0526,-0.0188,0.0296,1
202302,26540,Huntington, IN,745,258375,0.0062,1.1096,28,0.12,0.3333,52,0.0558,-0.2,32,1.6667,0.6,0,,,8,1,3,6,0.2,0.0909,157,-0.083,1.1028,1563,0.0396,-0.0475,262321,-0.054,0.2551,34,0.1525,0.283,0.2143,0.0143,-0.0476,1
202302,30900,Logansport, IN,747,154450,0.1036,0.1973,29,-0.1471,-0.0645,75,0,0.8293,20,1.5,0,0,,,8,1,-0.2,20,0.5,-0.22,101,0.0327,0.3325,1581,-0.0363,0.0105,177665,0.0822,0.1019,48,0.0435,-0.1504,0.6724,0.2901,-0.134,0
202302,11420,Angola, IN,755,333375,-0.0084,-0.1068,61,-0.0163,0.8333,68,-0.0785,0.6564,38,0.7273,0.4615,4,,,14,0.1667,1.3333,12,0.0952,-0.2333,186,0.0074,0.0188,1950,-0.0221,-0.2029,487067,-0.0718,-0.1308,72,-0.0272,0.5053,0.1901,0.0194,-0.2645,1
