month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,48620,Wichita, KS,90,319995,0.0702,0.2676,858,-0.0371,0.7662,63,-0.1336,0.3457,616,0.0441,-0.0128,90,2.4615,0.3636,186,-0.0882,1.1628,849,0.2035,-0.2081,148,0.0359,0.1976,2016,0.0005,0.0824,365473,0.0214,0.1641,1706,0.0703,0.0975,0.9895,0.1978,-1.2175,1
202302,45820,Topeka, KS,198,244500,0.0114,0.364,215,-0.0713,0.8455,65,0.075,1.7447,206,0.1977,0.1977,0,,,76,-0.05,1.375,193,0.2177,4.7612,122,0.0272,0.2354,1698,-0.0148,0.0103,373530,-0.0771,0.497,408,0.0503,1.6898,0.8977,0.213,0.6101,1
202302,29940,Lawrence, KS,325,434900,0.1298,0.0799,107,-0.0897,0.2909,69,0.062,0.9028,78,0.3448,-0.2353,2,0,0,16,0.1429,3,87,0.5446,-0.2345,192,0.0563,0.0342,2226,0.0109,0.0742,499840,0.0648,0.0649,188,0.0838,-0.0434,0.8122,0.3336,-0.5575,0
202302,31740,Manhattan, KS,340,264000,0.1398,0.304,207,-0.0761,0.5946,58,-0.1655,0.4591,158,0.4906,-0.092,4,,1,58,-0.0938,1.9,177,0.2698,-0.3238,123,0.0725,0.0397,2135,-0.02,0.1601,289977,0.0745,-0.4095,388,0.0703,-0.0039,0.8547,0.2328,-1.1607,1
202302,26740,Hutchinson, KS,511,146500,0.0754,0.5511,75,-0.0802,0.6556,44,-0.0741,0.3566,54,-0.2286,-0.129,0,,,18,-0.3571,0,69,0.4891,-0.2126,92,-0.0018,0.209,1579,0.0555,0.083,167594,0.0336,0.0374,143,0.1085,0.0916,0.9195,0.3516,-1.0139,1
202302,41460,Salina, KS,520,179250,-0.1213,0.9698,65,0.0157,0.075,45,-0.3321,-0.5718,68,0.4783,0.2143,0,,,12,-0.4545,0.5,69,0.2432,-0.0738,147,-0.0051,0.6792,1388,-0.0331,0.2128,248127,-0.0264,0.0022,136,0.1292,0.0112,1.0698,0.1958,-0.1719,1
202302,38260,Pittsburg, KS,693,158250,0.008,0.2342,64,-0.0519,0.4066,94,0.0652,0.1498,28,0,-0.125,0,,,14,-0.3,0.4,47,0.2237,0.022,109,0.0152,0.1181,1442,0,-0.0041,231061,-0.0495,0.1078,110,0.0139,0.2033,0.7266,0.1636,-0.2734,0
202302,21380,Emporia, KS,738,199900,0.0458,0.8739,31,0,0.4524,41,-0.2545,0.1081,22,-0.3529,0,0,,,14,0.75,2.5,26,0.6774,9.4,111,0.0528,0.2401,1818,0.0512,0.3024,302358,0.2965,0.9931,58,0.234,1.4681,0.8525,0.3443,0.7334,1
202302,23780,Garden City, KS,763,266000,-0.0075,0.0758,51,0.1333,0.7,42,-0.44,-0.1158,24,-0.2,0.0909,0,,,14,2.5,2.5,30,0.2292,-0.0635,203,0.0436,0.2797,1352,-0.0169,-0.0891,272014,-0.0166,-0.0091,81,0.1752,0.3644,0.5784,0.0451,-0.4716,0
202302,49060,Winfield, KS,771,117150,-0.0238,0.0256,57,-0.0952,0.1068,64,-0.2256,0.2764,20,-0.3333,-0.4444,0,,,20,0,0.1111,40,0.25,-0.0805,74,0.0117,0.1169,1501,-0.031,-0.0929,151633,-0.0344,-0.0623,96,0.0105,0.0052,0.7018,0.1938,-0.1429,0
202302,17700,Coffeyville, KS,794,119950,0.2252,0.6432,69,0.0074,0.0873,63,-0.2143,-0.1246,34,0.4167,0.0625,0,,,30,1.5,0.6667,41,0.0658,-0.2703,73,0.0332,0.3137,1570,-0.0291,0.1215,172338,0.0445,0.731,109,0.0187,-0.0802,0.5912,0.0324,-0.2897,1
202302,25700,Hays, KS,797,224950,0.2499,0.333,47,-0.0606,1.9063,92,0.0055,0.5187,26,0.8571,0.0833,0,,,10,-0.1667,4,33,0.1,-0.3945,123,0.148,0.3556,1970,0.0501,0.0415,344033,0.0982,0.0488,80,0.0127,0.1348,0.7097,0.1036,-2.6966,1
202302,32700,McPherson, KS,807,205950,0.03,0.0198,33,-0.1333,0.25,52,-0.3067,0.3506,28,0.4,-0.0667,0,,,8,-0.3333,1,35,0.3019,-0.2159,111,0.0588,0.0094,1899,-0.059,0.2492,248239,-0.018,0.1394,67,0.0469,-0.0496,1.0615,0.3549,-0.6308,0
202302,19980,Dodge City, KS,830,286499,0.0265,0.8698,32,-0.1579,0.8824,123,0.2629,2.3793,10,-0.2857,-0.2857,0,,,8,0,3,23,0.5,0.1842,184,0.0375,0.4664,1601,0.0248,0.2755,332579,0.0832,0.6745,56,0.0472,0.5205,0.7031,0.3084,-0.4145,1
202302,24460,Great Bend, KS,841,123200,-0.014,0.1311,54,0.0909,0.7705,86,0.0886,0.0552,24,2,0.2,0,,,10,0.25,1.5,17,0.0968,-0.5904,90,-0.0724,0.1275,1366,-0.0101,-0.0036,158495,-0.0799,-0.0414,71,0.0763,-0.0208,0.3148,0.0017,-1.0458,1
202302,36840,Ottawa, KS,846,224600,-0.0149,-0.0328,39,0,0.8333,62,-0.2597,0.3478,34,0.5455,0.3077,0,,,20,0.6667,9,33,-0.0149,-0.0149,152,0.0808,0.0364,1447,-0.0525,0.0888,261787,-0.0054,-0.0293,73,0,0.3519,0.8571,-0.013,-0.7381,0
202302,37660,Parsons, KS,892,104175,-0.0002,0.0966,37,0.0282,0.1587,71,-0.1768,-0.1125,18,0.125,-0.1,0,,,4,-0.6,0,25,0.225,-0.1552,73,0.1873,0.3128,1680,0.1089,0.0247,156556,-0.0196,0.0174,61,0.0893,0.0083,0.6712,0.1079,-0.2494,0
