month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,31140,Louisville/Jefferson County, KY-IN,44,299997,0.005,0.0718,1657,-0.1363,0.4537,46,-0.1727,0.2639,1320,0.0154,-0.1247,32,-0.3846,-0.7778,574,-0.2387,0.9793,1513,0.3425,-0.1571,166,0.0222,0.0249,1800,0,0.0778,375168,0.0355,0.0105,3168,0.0409,0.0776,0.9134,0.3258,-0.6619,0
202302,30460,Lexington-Fayette, KY,105,397450,0.0267,0.1418,720,-0.0631,0.8205,83,-0.0235,0.4068,404,0.116,-0.192,20,0.1111,-0.6552,150,-0.2105,1.027,649,0.1498,-0.2402,180,0.0211,0.0353,2258,0.0251,0.1103,496741,0.0225,0.0042,1351,0.0139,0.0821,0.9007,0.1668,-1.2573,1
202302,14540,Bowling Green, KY,236,332425,0.0414,0.1157,400,0.0363,0.7738,63,-0.2025,0.26,166,0.0641,-0.0879,0,,-1,104,0.2093,1.7368,237,0.1679,-0.2855,177,0.0086,0.1087,1924,-0.004,0.0593,397984,0.0148,0.0691,637,0.0825,0.1573,0.5913,0.0666,-0.8766,0
202302,21060,Elizabethtown-Fort Knox, KY,282,316500,-0.0062,0.1727,226,-0.0464,0.5972,45,-0.3407,0.6182,158,0.2154,-0.0125,6,2,0.5,62,-0.0313,0.8235,196,0.3564,-0.3012,148,0.0117,0.1015,1923,-0.0586,0.0492,343059,0.0112,0.0786,418,0.0942,-0.0118,0.8673,0.2576,-1.1151,1
202302,30940,London, KY,288,246225,0.005,0.1347,192,-0.0542,0.6696,95,0.0299,0.5469,84,0.3125,0.0244,0,,,68,-0.1053,0.3077,100,0.1916,-0.1976,138,0.0822,0.2006,1700,-0.0251,0.0089,295729,0.0358,0.1337,293,0.0192,0.2264,0.5182,0.1069,-0.56,0
202302,36980,Owensboro, KY,334,254725,0.0071,0.4294,213,-0.0719,1.0882,58,-0.0863,0.201,108,0.0385,-0.1,0,,,90,-0.1509,1.8125,115,0.3086,-0.2021,138,0.0162,0.1795,1798,0.0138,0.1568,358436,0.0125,0.3931,330,0.0427,0.3497,0.5376,0.1563,-0.8693,0
202302,40080,Richmond-Berea, KY,366,308625,0.0646,0.1497,217,-0.1232,1.0966,81,0.1285,0.2311,92,-0.1321,-0.2069,4,1,,42,-0.3824,0.3125,151,0.313,-0.2927,153,-0.0069,0.0585,1822,0.0429,0.0507,372732,0.0786,0.1033,366,-0.0054,0.1564,0.6959,0.2312,-1.3669,1
202302,37140,Paducah, KY-IL,382,223875,0.0029,0.6003,134,-0.0074,0.1261,95,-0.013,0.6889,78,0.6957,-0.2353,0,,,38,-0.3448,0.4615,94,0.0621,-0.2769,117,0.0245,0.274,1751,-0.0404,0.2524,273872,0.0064,0.2424,228,0.0201,-0.097,0.7015,0.0459,-0.3909,1
202302,23180,Frankfort, KY,453,299450,-0.0362,0.3119,106,-0.0783,0.4521,84,0.2,0.5273,50,-0.2424,-0.2424,2,,,26,-0.2353,0,106,0.1223,-0.1627,157,0.0194,0.0845,1972,-0.0269,0.2648,344475,-0.0282,0.2629,210,0.0024,0.0635,0.9953,0.1779,-0.7307,0
202302,43700,Somerset, KY,488,269925,0.019,0.1065,173,-0.0726,0.3118,83,0.003,0.1288,64,0.0323,-0.1351,0,,-1,52,0.3,-0.037,92,0.2979,-0.1159,141,0.0686,0.1299,1796,-0.0406,-0.0226,331199,0.0112,0.1429,269,0.0468,0.1426,0.5304,0.1514,-0.2566,0
202302,23980,Glasgow, KY,556,241200,0.0579,0.3748,98,-0.0926,-0.0485,123,0.0837,0.2713,28,-0.1765,-0.3,0,,,12,-0.4,0,63,0.1161,-0.3961,125,0,0.1662,1898,0.0404,0.3769,294548,0.0525,0.2546,161,-0.0213,-0.2094,0.6378,0.1192,-0.3671,0
202302,19220,Danville, KY,566,239950,-0.0302,0.2014,104,-0.0417,0.4276,59,-0.2484,-0.1227,44,-0.12,-0.12,2,0,,50,0.1364,1.0833,60,0.0085,-0.3277,138,-0.0012,0.0033,1670,0.003,0.0169,303402,-0.0276,0.0437,167,0.0122,0.0439,0.5749,0.0286,-0.6458,0
202302,34460,Mount Sterling, KY,613,237000,0.0545,0.0666,73,-0.1043,1.0278,84,-0.0233,0.2537,36,0.3846,0.2857,0,,,18,0.125,3.5,44,0.2609,-0.3459,148,0.1281,0.2026,1731,-0.022,-0.0012,320527,0.044,0.2743,117,0.0086,0.1359,0.5959,0.1726,-1.2513,1
202302,12680,Bardstown, KY,614,289938,-0.0043,-0.0001,116,-0.072,1,82,-0.286,0.1848,48,0.0435,-0.2,0,,-1,20,-0.0909,0.25,72,0.2017,-0.2394,190,0.0251,0.2283,1522,-0.0123,-0.1373,326933,-0.0052,-0.0689,185,0.0165,0.2211,0.6164,0.1404,-1.0043,1
202302,31580,Madisonville, KY,627,184900,0.0272,0.0883,62,-0.1689,0.3667,88,0.0415,1.0057,28,-0.2222,-0.3,0,-1,,14,-0.125,0.75,47,0.2237,0.8235,121,0.0574,0.0726,1766,0.0413,0.2026,244877,0.0301,0.1544,108,-0.0357,0.5429,0.7561,0.2426,0.1894,1
202302,34660,Murray, KY,663,277500,-0.0088,-0.1381,53,0,0.4324,99,0.2792,0.0944,20,0.25,-0.2308,0,,,8,-0.2,0,27,0.3947,-0.4111,135,-0.0095,0.1426,1980,-0.0121,-0.0411,362915,0.0285,-0.232,80,0.1042,-0.0422,0.5,0.1415,-0.7162,1
202302,32460,Mayfield, KY,724,184450,-0.0998,0.079,32,-0.2317,0.05,76,0.0271,0.629,14,-0.3,-0.4167,0,,,10,-0.4444,0.25,30,0.4286,-0.1304,108,-0.0472,0.0423,1643,-0.064,-0.0733,238424,0.004,0.0065,61,-0.0242,-0.0692,0.9524,0.4402,-0.1976,0
