month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,19820,Detroit-Warren-Dearborn, MI,13,229450,0.0102,0.0646,6513,-0.1237,0.408,59,-0.0859,0.5811,3780,-0.0021,-0.1463,142,0.1094,-0.5563,1664,-0.2015,0.8326,1320,0.1182,-0.153,161,0.0018,0.0343,1456,0.0083,0.0279,347495,0.0123,-0.019,7830,-0.0904,0.2662,0.2027,0.0438,-0.1342,0
202302,24340,Grand Rapids-Kentwood, MI,52,398900,0.0664,0.1497,868,-0.132,0.6119,53,-0.1846,0.4324,724,0.0343,-0.0398,16,0.6,-0.6667,232,-0.1831,2.2222,1015,0.1488,-0.0697,196,0.0366,0.0738,2014,0.0196,0.0707,485050,0.0661,0.0723,1882,0,0.1621,1.1694,0.2859,-0.8566,0
202302,29620,Lansing-East Lansing, MI,101,199925,0.0651,0.3166,482,-0.2026,0.2375,57,-0.0887,0.2556,350,0.0479,-0.1463,2,-0.5,-0.6667,128,-0.3846,0.3061,527,0.1262,-0.1583,124,0.0034,0.1266,1583,0.0144,0.0955,257020,0.0316,0.1385,1008,-0.0632,-0.0059,1.0923,0.319,-0.5136,0
202302,22420,Flint, MI,126,189338,0.0407,0.0761,746,-0.0908,0.3853,76,0.0168,0.51,350,-0.0885,-0.0979,12,-0.1429,-0.4,252,-0.0667,0.8261,230,0.1562,-0.1759,121,0.0032,0.0127,1428,0.0196,-0.0047,257628,0.042,-0.0043,971,-0.0485,0.19,0.3076,0.0657,-0.2095,0
202302,11460,Ann Arbor, MI,141,449224,0.0447,0.0106,368,-0.1155,0.2564,64,-0.1472,-0.15,256,0.3617,-0.1847,14,0.1667,0.4,64,-0.2,1.2857,226,0.2877,-0.2721,231,0.0223,0.0138,1908,0.03,0.0505,597389,0.0548,-0.001,598,0.011,-0.0108,0.615,0.1926,-0.4466,0
202302,28020,Kalamazoo-Portage, MI,174,304475,0.0183,-0.0095,252,-0.087,0.732,43,-0.1905,0.2879,170,-0.0957,-0.2797,2,0,-0.8333,56,-0.2821,2.1111,270,0.1616,-0.2355,158,0.0225,0.0598,1779,-0.0061,-0.0303,393474,0.0298,0.0736,522,0.0146,0.0482,1.0694,0.2289,-1.3532,1
202302,40980,Saginaw, MI,226,131225,-0.1097,0.2459,209,-0.1106,0.0773,66,0.213,-0.0473,126,-0.0455,-0.1711,2,0,-0.6667,84,0.4,0.2727,178,0.0755,-0.1759,96,-0.0396,0.1803,1483,-0.0077,0.0959,202041,0.0037,0.1112,387,-0.0252,-0.0421,0.8517,0.1474,-0.2617,0
202302,34740,Muskegon, MI,248,196000,0.0184,-0.1077,201,-0.1522,0.6778,61,0.0251,0.3462,146,0.0139,-0.0135,2,,,66,-0.175,1.5385,235,0.1087,0.0376,140,0.018,-0.0076,1429,-0.0005,-0.0167,266914,0.0161,-0.1807,434,-0.0324,0.2602,1.1696,0.2753,-0.7216,1
202302,45900,Traverse City, MI,266,485975,0.0452,0.0717,293,0.0227,0.4373,61,-0.2754,-0.1597,134,-0.0147,-0.0563,10,,-0.7727,40,-0.2,1.2222,232,0.092,-0.2085,319,0.0982,0.0714,1567,-0.0375,0.033,786699,0.0171,-0.0307,522,0.0368,0.0525,0.7915,0.0502,-0.6459,0
202302,35660,Niles, MI,270,339425,0.0775,-0.0232,271,-0.0751,0.4453,90,0.0529,0.4206,136,0.1724,-0.1053,0,-1,-1,76,-0.1556,1.7143,184,0.2152,-0.1005,173,0.0338,0.0153,1833,-0.008,0.0159,648371,-0.0094,-0.092,457,0.034,0.1616,0.6771,0.1618,-0.4109,0
202302,27100,Jackson, MI,276,223750,0.1581,0.2883,183,-0.2013,-0.0783,63,-0.0667,0.2293,106,0.325,-0.2639,0,-1,-1,44,-0.3333,-0.2143,166,0.1864,-0.1807,125,0.1049,0.126,1681,0.0263,0.0549,269783,0.067,0.1901,348,-0.0505,-0.1365,0.9068,0.2963,-0.1134,0
202302,33780,Monroe, MI,285,265000,-0.0395,0.0537,169,-0.079,0.1986,60,-0.1119,0.0348,112,0.2174,-0.0345,6,2,0,56,0.3333,1.3333,115,0.355,-0.3657,163,0.0082,-0.0333,1653,-0.008,0.0557,306604,0.0019,0.0261,280,0.041,-0.1224,0.6775,0.217,-0.6026,0
202302,12980,Battle Creek, MI,310,182450,-0.0392,0.1098,168,-0.1558,0.4483,60,-0.1045,-0.0476,108,0.1739,0.3171,2,-0.5,-0.8,48,-0.2941,0.5,172,0.1205,-0.1335,115,-0.0242,0.1121,1616,0.0186,0.06,218362,-0.065,-0.2549,342,-0.0353,0.0911,1.0238,0.2525,-0.6874,0
202302,26090,Holland, MI,346,399900,0.0068,0.0395,123,-0.209,0.64,70,-0.0909,0.0606,72,0,-0.25,0,,-1,30,-0.3182,2,136,0.2664,-0.1056,205,0.0376,0.0983,2067,0.0356,-0.0014,605528,0.1046,-0.0432,260,-0.0152,0.1457,1.1016,0.4135,-0.9184,0
202302,13020,Bay City, MI,363,178500,0.1713,0.4912,92,-0.1712,-0.08,83,0.1857,0.5229,34,-0.5143,-0.6852,4,1,,30,-0.1176,0.0714,98,0.12,-0.2847,115,0.0383,0.3338,1500,0.0316,0.0573,224151,0.1168,0.201,190,-0.0428,-0.1793,1.0652,0.2769,-0.3048,0
202302,10300,Adrian, MI,400,272325,0.009,0.0896,136,-0.0216,0.6386,72,0.0035,0.0106,62,-0.1622,-0.2791,6,,,52,0.1818,3.3333,77,0.0621,-0.2903,146,0.0302,0.0268,1759,0.0171,0.0344,305449,0.0252,0.0183,215,0.0094,0.1201,0.5662,0.0446,-0.7411,0
202302,33220,Midland, MI,422,241475,0.0801,-0.0279,56,-0.0431,0.099,52,-0.2509,0.4928,48,0.0909,-0.3333,0,,-1,26,0.3,0.8571,81,0.0728,-0.28,144,-0.0067,0.076,1670,0.0233,-0.0396,330429,0.0711,-0.0063,136,0.0112,-0.1662,1.4595,0.1577,-0.7683,0
202302,32100,Marquette, MI,474,264000,0.0323,0.1492,52,-0.2536,-0.1557,138,0.7685,0.6272,30,-0.1176,-0.375,0,,,10,0.6667,0.6667,76,0.4245,-0.0679,207,0.0392,0.3072,1274,-0.0035,-0.1127,480578,0.0664,-0.0228,127,0.0539,-0.0961,1.466,0.6979,0.1382,0
202302,34380,Mount Pleasant, MI,494,226350,0.0073,0.2582,76,-0.0443,0.208,102,0.0226,0.2839,24,-0.0769,-0.0769,0,-1,,16,0,0.6,45,0.1688,-0.3284,119,-0.0057,0.08,1744,0.0033,0.1005,276013,0.0459,0.2144,120,0.0169,-0.0943,0.596,0.1087,-0.476,0
202302,44780,Sturgis, MI,533,209250,0.021,0.1961,65,-0.2321,-0.0652,64,-0.0593,0.3368,26,-0.381,-0.35,0,,-1,22,-0.1538,-0.1538,61,0.2222,-0.062,115,-0.0033,0.0288,1795,0.0096,0.0332,275615,0.0875,-0.0414,128,-0.0412,-0.034,0.938,0.3487,0.0032,0
202302,15620,Cadillac, MI,587,191175,0.0145,0.1503,57,-0.1102,0.2151,76,0.0201,-0.0256,28,0,-0.2632,0,-1,,8,-0.3333,-0.3333,39,-0.0253,-0.3246,146,0.1249,0.3196,1500,-0.0372,0.0449,255491,-0.0141,0.213,95,-0.0732,-0.0355,0.6814,0.0594,-0.5444,0
202302,25880,Hillsdale, MI,631,222400,0.0723,0.3418,53,-0.16,0.3125,74,-0.2016,0.188,24,-0.0769,-0.2,0,,,12,-0.3333,0.5,42,0.2029,-0.2783,124,0.0044,0.0804,1705,0.0284,0.0914,299873,0.0529,0.2721,94,-0.0359,-0.0457,0.7905,0.2385,-0.647,0
202302,13660,Big Rapids, MI,654,312463,0.0887,0.2315,66,-0.1373,-0.0571,124,0.1432,1.475,34,1.125,-0.3929,0,,,18,0.2857,0.5,36,0.1613,-0.4627,148,0.0719,0.1756,1598,0.0057,-0.0352,344975,0.0557,0.3681,102,-0.0467,-0.2662,0.5455,0.1402,-0.4117,1
202302,17740,Coldwater, MI,666,227975,-0.0074,0.0925,82,-0.0298,0.6139,70,-0.0345,0.5054,30,0.1538,0.0714,0,,,18,-0.1818,0.8,30,0.6389,-0.3059,138,0.084,0.159,1778,-0.0103,-0.0415,312571,0.0298,0.0058,111,0.0725,0.2065,0.362,0.1477,-0.4796,0
202302,21540,Escanaba, MI,688,219250,0.2939,0.3492,37,-0.2292,0.1746,107,0.0698,-0.0754,14,0.1667,0,0,,,8,0,1,31,0.1481,-0.0462,155,0.0408,-0.0046,1768,0.1469,0.2135,344180,0.1973,0.0108,67,-0.0946,0.0551,0.8378,0.2753,-0.1939,0
202302,26340,Houghton, MI,736,261250,0.0773,0.4319,28,-0.0345,0.5556,114,0.1748,0.0728,16,0.6,-0.2,0,,,2,0,0,17,-0.0556,-0.6,119,-0.009,0.0761,1653,0.0102,0.1262,302172,-0.2058,-0.3486,45,-0.0426,-0.2562,0.6071,-0.0135,-1.754,1
202302,10940,Alma, MI,740,160000,0.069,0.0626,46,-0.2581,0.3143,90,0.1285,0.3433,20,-0.0909,-0.2857,0,,-1,10,-0.5833,1.5,39,0.1818,0.0263,99,-0.0224,-0.023,1614,0.0012,0.0371,218497,0.0204,0.0537,85,-0.1005,0.1972,0.8478,0.3156,-0.2379,0
202302,42300,Sault Ste. Marie, MI,746,239900,-0.0304,0.3575,63,0.0246,0.1364,115,-0.0065,-0.2652,28,1,0.2727,0,,,2,0,,17,-0.1905,-0.5526,145,-0.0455,0.2177,1586,-0.0088,0.1116,403510,-0.0424,0.5128,80,-0.0245,-0.1452,0.272,-0.0723,-0.4189,0
202302,27020,Iron Mountain, MI-WI,773,186725,-0.0132,0.0564,41,-0.2039,-0.012,130,0.1986,0.2299,14,-0.125,-0.3636,0,,,8,-0.2,1,31,0.0339,-0.1286,126,0.0242,-0.0467,1443,-0.0496,0.0003,319666,0.2341,-0.1913,71,-0.1235,-0.0955,0.7439,0.1711,-0.0995,0
202302,31220,Ludington, MI,793,229850,-0.0268,-0.3615,36,-0.2366,-0.0139,95,-0.0843,-0.0594,14,0,-0.2222,0,,,4,-0.6,0,22,0.1282,0.0233,172,-0.0588,-0.1347,1567,0.0381,-0.1761,375917,0,-0.2102,59,-0.1061,0.0351,0.6197,0.2004,0.0225,1
202302,10980,Alpena, MI,795,173550,-0.0443,0.1384,31,-0.1867,-0.0161,83,-0.0704,0.5566,12,-0.25,-0.3333,0,,,8,-0.2,0,20,0.8571,-0.2909,96,-0.0861,0.1186,1906,0.0738,0.1242,1020259,0.216,2.0507,47,-0.0106,-0.1545,0.6393,0.3593,-0.2478,0
202301,19820,Detroit-Warren-Dearborn, MI,13,227125,-0.0125,0.1079,7432,-0.1431,0.4322,64,0.1852,0.1852,3788,0.0961,-0.1256,128,0.1034,-0.3846,2084,-0.1331,0.9154,1181,-0.048,-0.2082,161,-0.0024,0.046,1444,-0.0069,0.027,343269,0.0047,0.0055,8608,-0.1314,0.2917,0.1589,0.0159,-0.1285,0
202301,24340,Grand Rapids-Kentwood, MI,52,374050,0.0265,0.1267,1000,-0.1438,0.6474,65,0.1404,0.2264,700,0.4228,-0.0057,10,-0.1667,-0.8333,284,-0.0533,2.381,884,-0.104,-0.172,189,0.0262,0.0485,1975,0.0073,0.0538,454997,0.0447,0.0127,1882,-0.1255,0.1358,0.8835,0.0393,-0.8743,0
202301,29620,Lansing-East Lansing, MI,101,187700,-0.0116,0.2522,605,-0.2309,0.2337,62,0.1071,0.1481,334,0.057,-0.1893,4,0,-0.5,208,-0.1875,0.625,468,-0.0498,-0.2615,123,0.0087,0.115,1561,-0.0186,0.0859,249150,0.0044,0.149,1076,-0.1561,-0.0324,0.7734,0.1474,-0.5185,0
202301,22420,Flint, MI,126,181925,-0.0166,0.0552,821,-0.1336,0.3721,74,0.1602,0.1082,384,0.1429,-0.0204,14,-0.125,-0.5,270,0.25,0.7308,199,-0.081,-0.2246,121,-0.0117,0.0192,1400,-0.0141,-0.0127,247240,0.0133,0.0231,1021,-0.1218,0.2091,0.2419,0.0138,-0.1862,0
202301,11460,Ann Arbor, MI,141,430000,0.0238,0.003,416,-0.1065,0.2629,75,-0.0033,-0.2132,188,0.4688,-0.2034,12,0,-0.7857,80,0.1111,1.2222,176,-0.2468,-0.3171,226,0.0212,0.035,1853,0.0004,-0.0007,566369,0.0415,-0.0177,591,-0.1533,0.0085,0.4224,-0.0787,-0.3588,0
202301,28020,Kalamazoo-Portage, MI,174,298990,0.0872,0.1033,276,-0.1712,0.8904,53,-0.0278,-0.0625,188,0.4688,0,2,-0.5,-0.5,78,-0.25,0.5,232,-0.1502,-0.3609,155,0.0653,0.0589,1790,-0.0025,-0.0058,382080,0.0701,0.0889,514,-0.1518,0.0019,0.8406,0.0208,-1.6457,1
202301,40980,Saginaw, MI,226,147400,-0.0167,0.4755,235,-0.1165,0.0682,54,0,-0.1818,132,0,0.1379,2,-0.5,-0.5,60,0.1538,-0.1176,166,-0.1683,-0.1513,99,-0.016,0.2319,1494,0.0149,0.1344,201289,-0.0059,0.1799,397,-0.1436,-0.0582,0.7043,-0.0439,-0.1821,0
202301,34740,Muskegon, MI,248,192450,-0.0373,-0.0373,237,-0.1523,0.9228,60,0.2194,0.1065,144,0.2,0.2857,0,,,80,-0.1667,1.8571,212,-0.126,-0.1,137,-0.0167,-0.0232,1430,-0.0479,0.0056,262692,-0.0061,-0.1827,448,-0.1401,0.2514,0.8943,0.0269,-1.0163,1
202301,45900,Traverse City, MI,266,464950,-0.0312,0.0163,286,-0.2078,0.2017,84,-0.0511,0.1929,136,1.125,-0.0286,0,-1,-1,50,0.25,2.125,212,-0.1382,-0.2482,290,-0.0074,0.0265,1628,0.0156,0.049,773499,0.0128,-0.0235,503,-0.17,-0.0252,0.7413,0.0598,-0.4436,0
202301,35660,Niles, MI,270,315000,-0.0735,-0.023,293,-0.1357,0.4798,85,0.1486,0.1806,116,0.6111,0.1154,2,-0.5,-0.5,90,0.6071,1.5,151,-0.0321,-0.1838,168,-0.0264,-0.0104,1848,-0.0317,0.0218,654548,0.0087,-0.0182,442,-0.1081,0.1618,0.5154,0.0552,-0.419,0
202301,27100,Jackson, MI,276,193200,-0.034,0.178,229,-0.1442,0.0728,68,0.1441,0.25,80,0.0526,-0.4595,4,,-0.5,66,-0.25,0.2692,140,-0.1596,-0.2734,113,-0.0826,0.0663,1638,-0.0088,0.0738,252845,-0.0108,0.1908,367,-0.1594,-0.086,0.6105,-0.0112,-0.2909,0
202301,33780,Monroe, MI,285,275900,-0.0141,0.1745,184,-0.0685,0.1189,67,0.1356,0.2182,92,0.4375,-0.1786,2,,-0.5,42,0.05,0.05,85,-0.1634,-0.4477,162,0.0055,0.0508,1666,0.0097,0.079,306009,-0.017,0.0565,269,-0.1109,-0.1449,0.4605,-0.0522,-0.4724,0
202301,12980,Battle Creek, MI,310,189900,-0.0133,0.1876,199,-0.2008,0.4214,67,0.0894,0.0984,92,0.2105,-0.1154,4,-0.5,0,68,-0.2609,1.125,154,-0.0697,-0.2247,118,0.0053,0.1804,1587,-0.0183,0.0131,233548,-0.046,-0.1222,354,-0.1511,0.0536,0.7714,0.1087,-0.6429,0
202301,26090,Holland, MI,346,397200,0.0187,0.105,156,-0.1816,0.7472,77,0.1324,0.1493,72,0.2,-0.1,0,-1,-1,44,-0.0833,1.75,107,-0.1508,-0.2819,198,-0.0397,0.0979,1996,0.0021,-0.0356,548204,-0.027,-0.1184,264,-0.1661,0.1025,0.6881,0.0249,-0.9861,0
202301,13020,Bay City, MI,363,152400,-0.0469,0.4725,111,-0.126,-0.0513,70,0.1864,-0.0667,70,0.75,0.3462,2,,,34,-0.2273,0.0625,88,-0.1162,-0.375,110,0,0.3078,1454,-0.0595,-0.0248,200700,-0.012,0.1812,199,-0.1138,-0.2246,0.7883,0.0088,-0.4083,0
202301,10300,Adrian, MI,400,269900,0.0185,0.3669,139,-0.1032,0.4479,72,0.1349,-0.1333,74,1.0556,0.3214,0,,-1,44,-0.1538,1.2,73,-0.1667,-0.3287,142,0.0231,0.1373,1729,0.0052,0.0773,297937,0.018,0.0936,213,-0.1109,0.0119,0.5216,-0.0397,-0.6034,0
202301,33220,Midland, MI,422,223575,-0.0059,0.0282,58,-0.2658,0.0175,69,0.0742,0.1653,44,0.1,-0.3125,0,,,20,0,0.25,76,-0.0904,-0.3811,145,-0.0035,0.0686,1632,0.0197,0.0149,308491,0.0044,0.0738,134,-0.1879,-0.2429,1.3017,0.2511,-0.8386,0
202301,32100,Marquette, MI,474,255750,-0.0615,0.3568,69,-0.0676,0.1129,78,-0.1063,-0.1063,34,1.8333,0.2143,0,,,6,-0.5,0.5,53,-0.1017,-0.3291,200,0.0362,0.4069,1279,-0.053,-0.0255,450665,0.0119,-0.0164,121,-0.0871,-0.1454,0.7681,-0.0292,-0.5061,0
202301,34380,Mount Pleasant, MI,494,224700,-0.0009,0.2487,79,-0.1319,-0.0125,100,0.0153,0.2516,26,0.625,-0.35,4,,,16,-0.2,-0.2,39,-0.1809,-0.45,119,0.0124,0.0793,1738,0.0119,0.1077,263888,-0.029,0.1571,118,-0.1387,-0.1973,0.4873,-0.0291,-0.3877,0
202301,44780,Sturgis, MI,533,204950,0.0253,0.1652,84,-0.1064,0.3548,68,0.2273,0.063,42,0.5,-0.0455,0,,,26,-0.1875,0.0833,50,0.0761,-0.2016,115,0.0033,-0.0031,1778,0.0277,0.0459,253436,-0.0214,-0.2134,134,-0.0532,0.0349,0.5893,0.0999,-0.4107,0
202301,15620,Cadillac, MI,587,188450,0.034,0.0344,64,-0.2256,0.0242,75,0.1074,-0.0033,28,0.4,-0.2222,2,,,12,-0.25,0,40,-0.21,-0.2547,129,0.0032,0.1511,1558,0.0387,-0.0045,259150,0.0257,0.1297,103,-0.2235,-0.0682,0.622,0.0123,-0.2328,0
202301,25880,Hillsdale, MI,631,207400,-0.0331,0.3564,63,-0.1883,0.1364,93,0.0814,0.5763,26,1.1667,0.3,0,,,18,0.125,0.5,35,-0.0417,-0.3727,123,0.0295,0.166,1658,-0.0512,0.0441,284802,0.0106,0.3035,98,-0.1372,-0.1055,0.552,0.0845,-0.448,0
202301,13660,Big Rapids, MI,654,287000,-0.0401,0.5327,77,-0.1947,-0.0316,108,0.1046,0.5035,16,-0.2,-0.4286,0,,,14,-0.3,-0.3,31,0,-0.3673,138,-0.0293,0.2253,1589,-0.0069,-0.0451,326775,-0.0053,0.4249,107,-0.144,-0.1575,0.4052,0.0789,-0.215,1
202301,17740,Coldwater, MI,666,229675,-0.001,0.1541,84,0.012,0.5,73,0.0357,0.0211,26,0.3,-0.1875,0,,,22,0.1,0.375,18,-0.5,-0.4857,128,-0.0754,0.0545,1797,0.0445,-0.0019,303539,-0.0484,0.0201,104,-0.1303,0.15,0.2143,-0.2194,-0.4107,0
