month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,33460,Minneapolis-St. Paul-Bloomington, MN-WI,15,434950,0.0381,0.0889,4203,-0.0916,0.2382,50,-0.1818,0.4559,3202,0.1535,-0.342,158,0.549,-0.6914,862,-0.1883,0.9156,4059,0.2515,-0.2768,217,0.026,0.1712,1971,0.0127,-0.0924,562935,0.0411,0.082,8303,0.0553,-0.0827,0.9656,0.2647,-0.6876,0
202302,20260,Duluth, MN-WI,164,272075,0.0491,0.2492,263,-0.1505,0.1388,102,0.0304,0.2562,144,0.4118,-0.2,0,,-1,54,0.0385,1.0769,211,0.1105,-0.316,175,-0.0008,0.2218,1592,0.0512,-0.0093,376662,0.0328,0.0389,469,-0.0535,-0.1234,0.8038,0.1889,-0.5346,0
202302,40340,Rochester, MN,202,413828,0.0479,0.0965,273,-0.0962,0.3293,72,-0.1579,0.7455,176,0.2222,-0.3071,2,-0.5,-0.5,60,0,1.1429,266,0.3176,-0.1942,193,0.0447,0.1918,2198,0.0468,-0.1341,488214,0.0643,0.0363,538,0.0706,0.0132,0.9743,0.306,-0.633,0
202302,41060,St. Cloud, MN,220,354900,0.0558,0.0991,198,-0.0505,0.2908,75,-0.0627,0.1456,124,0.55,-0.2706,2,,-0.75,34,0.1333,0.4167,159,0.1784,-0.223,169,-0.0148,0.2302,2004,0.0712,-0.0941,392884,0.0155,0.0338,355,0.0396,-0.0125,0.8025,0.1559,-0.5308,0
202302,14660,Brainerd, MN,383,399900,-0.0081,0.0165,192,0.0521,0.3617,82,-0.012,1.0123,108,0.5,-0.1,0,-1,-1,34,0.3077,1.125,114,0.1068,-0.2875,219,-0.0155,0.1066,1844,0.011,-0.104,514991,-0.0218,-0.0152,306,0.0795,0.048,0.5938,0.0294,-0.541,1
202302,31860,Mankato, MN,386,384900,0.0355,0.2126,96,0.0053,0.2013,92,0.0027,0.0487,46,0.0455,-0.3235,0,,,8,-0.6364,-0.2,80,0.314,-0.2605,164,0.0079,0.2004,2416,0.0209,0.035,400244,0.0399,-0.0609,174,0.1083,-0.0279,0.8325,0.1956,-0.5197,0
202302,22260,Fergus Falls, MN,504,338000,-0.0525,0.0482,75,-0.1071,0.049,110,0.0706,0.5771,30,0,0.1538,0,,-1,10,0.25,0.25,56,0.2907,0.4051,180,0.0219,0.1942,1877,0.0013,-0.1067,428483,0.01,-0.0078,131,0.0156,0.214,0.74,0.2281,0.1876,0
202302,22060,Faribault-Northfield, MN,519,421900,0.0286,0.0675,89,-0.115,0.0599,77,0.4299,0.1007,38,0.7273,-0.3448,0,,-1,12,-0.4,0.5,62,0.2424,-0.1745,201,0.0207,0.361,1954,-0.0309,-0.2637,506659,0.079,0.1556,149,-0.0132,-0.057,0.6949,0.1999,-0.1973,0
202302,49100,Winona, MN,593,271150,-0.0583,0.3311,39,-0.0494,0.1493,87,0.0058,1.2025,20,0.25,-0.4444,0,,,10,0,-0.1667,30,0.5128,-0.4779,152,0.0752,0.4997,1737,-0.141,-0.2762,300567,-0.1977,-0.0906,68,0.0887,-0.25,0.7662,0.2848,-0.9203,1
202302,24330,Grand Rapids, MN,602,206950,-0.0932,0.0898,45,-0.1359,-0.0111,100,-0.0291,0.3367,34,1.125,0.1333,0,,,12,2,2,40,0.2308,-0.2453,156,0.0017,0.2314,1437,0.0292,-0.2511,330777,0.0372,0.0647,82,-0.0298,-0.1189,0.8989,0.2678,-0.2789,0
202302,39860,Red Wing, MN,603,347450,0.178,0.176,51,-0.1583,0.5075,95,0.1656,0.645,24,-0.1429,-0.4,0,,,10,0.6667,4,45,0.4754,-0.2857,197,0.1219,0.4457,1641,-0.0283,-0.2818,422628,0.0801,0.1626,96,0.0495,-0.0052,0.8911,0.3828,-0.9895,0
202302,13420,Bemidji, MN,609,349900,0.0218,0.2365,62,-0.0159,0.2277,119,-0.0207,-0.3453,28,0.0769,-0.1765,0,,,6,0.5,0.5,51,-0.0098,-0.2681,211,0.0616,-0.1889,1856,-0.0211,0.436,401056,0.0311,0.207,110,-0.0351,-0.0756,0.8145,0.005,-0.5518,0
202302,48820,Willmar, MN,640,358944,0.0557,0.409,35,-0.1375,0.15,81,-0.0694,0.288,16,0.6,-0.3333,0,,-1,4,-0.5,-0.3333,23,-0.0426,-0.4375,175,0.0862,0.4142,2013,0.0177,-0.0428,458843,-0.0062,0.2601,57,-0.1032,-0.1986,0.6522,0.0647,-0.6812,0
202302,10820,Alexandria, MN,661,308750,0.0008,0.2528,45,-0.0625,0.3433,82,-0.0352,0.1153,20,0.25,-0.3333,0,,,4,-0.6667,1,31,0.1481,-0.3608,227,0.1393,0.6595,1690,0.0403,-0.1749,399053,0.0794,0.1516,76,0.0067,-0.0563,0.6889,0.1264,-0.7589,0
202302,12380,Austin, MN,674,186500,0.0043,0.3693,49,-0.1009,0.3243,58,-0.1825,0.2135,20,-0.2308,-0.5238,0,,-1,14,0.1667,0.75,34,0.2143,-0.2444,112,0.0628,0.3906,1825,0.0073,-0.0137,243238,0.0215,0.51,83,0.0185,0.0123,0.6939,0.1801,-0.5223,0
202302,36940,Owatonna, MN,729,286950,-0.0094,0.1436,30,-0.1045,0.3953,59,-0.0249,0.2051,20,0.1111,-0.375,0,,,12,0.5,5,37,0.2807,-0.2396,140,-0.0163,0.2896,1847,-0.024,-0.0868,347817,0.0561,0.3973,67,0.0992,-0.0221,1.2167,0.3659,-1.0159,1
202302,26780,Hutchinson, MN,735,317400,0.176,0.1387,26,-0.2877,-0.0189,69,-0.1585,0.8278,26,-0.0714,-0.35,0,,,6,-0.25,2,43,0.6038,-0.1667,154,0.0455,0.1155,1800,0.0679,-0.2473,325077,0.1485,-0.0377,69,0.1138,-0.1161,1.6346,0.9086,-0.2899,0
202302,10660,Albert Lea, MN,776,195425,0.0277,0.3258,43,-0.0652,0.2286,88,0.1438,0.6827,12,-0.25,-0.25,0,,,10,-0.1667,0.25,25,-0.1552,-0.3194,116,0.0351,0.7482,1757,-0.0204,-0.1681,247707,-0.0131,0.1744,69,-0.0987,-0.0352,0.5698,-0.0607,-0.4588,0
202302,35580,New Ulm, MN,835,294900,0.2229,0.6275,21,-0.1087,0.4643,73,0.0464,0,12,1,-0.25,0,,,4,-0.3333,,11,0.3125,-0.5,120,0.0174,0.1911,1774,-0.001,-0.1217,285429,0.1763,0.2799,33,0.0833,-0.0714,0.5122,0.1644,-0.9878,1
202302,32140,Marshall, MN,843,180000,0.3091,-0.0884,27,-0.0185,0.3947,98,0.108,0.4552,14,0.4,-0.3636,0,,,4,-0.5,0,23,0.1842,-0.2969,99,0.1797,0.2206,1886,0.075,-0.1556,211105,0.1481,0.159,49,0.0538,-0.0392,0.8491,0.1454,-0.8352,0
202302,21860,Fairmont, MN,875,266150,-0.0568,1.8804,20,0.1111,0,87,0.0206,0.0612,8,1,-0.6,0,,,2,0,-0.5,12,-0.1429,-0.5102,130,-0.0554,1.4911,2090,-0.057,-0.0282,281964,-0.0778,0.9757,33,0,-0.2529,0.6,-0.1778,-0.625,1
202302,49380,Worthington, MN,893,187225,-0.2234,0.0066,24,-0.0408,0.7407,75,-0.1199,1.0201,10,0.25,-0.1667,0,,,4,0,1,10,0.0526,-0.4444,131,0.021,0.217,1574,-0.049,-0.2775,216233,-0.0694,0.0304,33,-0.0571,0.0313,0.4255,0.0378,-0.9078,1
202301,33460,Minneapolis-St. Paul-Bloomington, MN-WI,15,418995,0.0475,0.1284,4627,-0.1726,0.1744,61,0.0431,0.0431,2776,0.2371,-0.194,102,0.8214,-0.7783,1062,-0.1729,1.1942,3243,-0.1329,-0.1676,212,0.0183,0.058,1947,-0.0028,0.0672,540722,0.0155,0.1155,7868,-0.1568,-0.0041,0.7009,0.0321,-0.2879,0
202301,20260,Duluth, MN-WI,164,259350,0.0374,0.3657,309,-0.2797,0.1075,99,0.25,0.1898,102,0.0625,-0.2714,0,,-1,52,0,0.4444,190,-0.1915,-0.2963,175,0.0558,0.256,1515,-0.0197,0.0779,364689,0.0105,0.1712,496,-0.2481,-0.0669,0.6149,0.0671,-0.3529,0
202301,40340,Rochester, MN,202,394900,0.0284,0.1124,302,-0.1555,0.2459,86,0.1633,0.2761,144,0.8,-0.1,4,0,0,60,-0.1667,0.6667,202,-0.1004,-0.1426,185,0.0201,0.0832,2099,0.0054,-0.0449,458736,0.0163,0.0391,503,-0.1351,0.0491,0.6683,0.0409,-0.3027,0
202301,41060,St. Cloud, MN,220,336150,0.0343,0.0671,208,-0.1405,0.162,80,0.1232,0.0159,80,0.1111,-0.2593,0,-1,,30,-0.3182,0.25,135,-0.1646,-0.1698,171,0.105,0.1541,1871,-0.0382,-0.0211,386875,0.0058,0.0725,341,-0.1538,0.0059,0.6466,-0.0187,-0.2584,0
202301,14660,Brainerd, MN,383,403175,-0.0164,0.1202,183,-0.1705,0.3419,83,0.0506,0.0375,72,0.125,0.125,2,,-0.5,26,0.3,1.1667,103,-0.0965,-0.1626,223,0.0185,0.1204,1824,-0.0259,-0.0212,526471,-0.0445,0.0236,283,-0.1527,0.0969,0.5644,0.0462,-0.34,0
202301,31860,Mankato, MN,386,371700,0.1017,0.2014,95,-0.2276,0.0106,91,0.1551,0.0139,44,1.75,-0.2143,0,,,22,0.375,0.375,61,-0.0082,-0.2342,162,0.0315,0.2021,2367,0.0087,0.0049,384880,0.0558,0.0696,157,-0.1467,-0.0872,0.6368,0.1409,-0.2036,0
202301,22260,Fergus Falls, MN,504,356725,-0.0076,0.3773,84,-0.25,0.2353,103,0.216,0.511,30,0.5,2.75,0,,,8,-0.5,1,43,-0.14,-0.1731,176,0.008,0.2645,1875,0.0013,-0.0533,424236,-0.0433,0.0612,129,-0.2117,0.0708,0.5119,0.0655,-0.2528,1
202301,22060,Faribault-Northfield, MN,519,410150,0.0256,0.0726,100,-0.1667,0.1111,54,0.1889,-0.1641,22,-0.3889,-0.3889,0,,-1,20,-0.2857,1.5,50,-0.161,-0.2721,197,0.0046,0.0614,2016,0.0461,0.0274,469560,0.0279,0.0687,151,-0.1749,-0.0443,0.495,0.0033,-0.2606,0
