month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,41180,St. Louis, MO-IL,20,271559,0.0061,0.0348,3499,-0.0747,0.236,67,0.0076,0.3039,2462,0.0894,-0.1534,160,0.25,-0.7324,924,-0.2572,1.0175,3400,0.1839,-0.169,156,0.013,0.0481,1652,-0.0008,0.0204,337055,0.0097,-0.0199,6871,0.03,-0.0064,0.9716,0.2122,-0.4735,0
202302,28140,Kansas City, MO-KS,30,442450,0.0232,0.1419,3733,-0.0782,0.8252,92,0.0425,0.5144,2018,0.0391,-0.2309,226,0.1895,-0.2848,804,-0.2071,1.4815,3390,0.1451,-0.3212,203,0.0214,0.0737,2237,0.0115,0.0656,495694,0.0233,0.0985,7083,0.0107,0.0068,0.9082,0.1771,-1.5338,1
202302,44180,Springfield, MO,113,324950,0.0399,-0.0076,788,-0.1126,1.0874,55,-0.127,0.5827,492,0.1081,-0.1488,12,0,0.2,246,-0.0391,2.3243,673,0.1859,-0.2783,160,0.0214,0.0173,1927,0.0017,-0.0236,415882,0.0556,-0.0499,1461,0.0045,0.1085,0.8541,0.215,-1.6161,1
202302,17860,Columbia, MO,214,352500,-0.0055,0.1224,312,0.0436,0.9169,59,-0.2548,1.25,190,0.25,0.0674,4,-0.5,0,64,0.1852,2.2,19,0.2333,0.0571,183,0.0074,0.137,1974,-0.0048,-0.0015,408961,-0.0146,0.0429,330,0.0577,0.8182,0.0594,0.0091,-0.0483,1
202302,27900,Joplin, MO,254,236705,0.0415,0.0295,321,-0.135,0.6394,68,-0.0625,1.2881,166,0.2576,-0.1531,4,0,-0.3333,76,-0.1364,0.9,262,0.0871,-0.3239,129,0.0044,0.1771,1764,0.008,-0.0948,339502,0.0817,0.1656,582,-0.0498,0,0.8175,0.167,-1.1646,1
202302,27620,Jefferson City, MO,287,256200,0.0079,0.2232,123,-0.0278,0.1086,59,-0.1931,0.4625,102,0.2439,0,2,,0,26,-0.2353,0,132,0.4451,2.4605,131,-0.0033,0.021,1837,0.0186,0.0034,318710,0.0155,0.0621,250,0.1524,0.7089,1.0735,0.3512,0.7296,0
202302,41140,St. Joseph, MO-KS,348,144900,-0.065,0.1985,125,-0.1502,-0.0496,71,-0.0174,0.1016,76,-0.1163,-0.2549,2,,,32,-0.2,-0.0588,116,0.0791,-0.254,102,0.0061,0.1495,1366,-0.0704,0.0167,204724,0.0532,0.1059,242,-0.0397,-0.1655,0.9317,0.1979,-0.2553,0
202302,16020,Cape Girardeau, MO-IL,396,254925,-0.073,0.4893,153,-0.1185,0.2348,76,0.0486,0.6064,76,-0.05,0.027,2,,,30,-0.3478,0.25,109,0.3133,-0.1029,126,-0.0144,0.2199,1731,-0.017,0.0651,317464,-0.0289,0.1438,260,0.0176,0.0723,0.7148,0.235,-0.2691,0
202302,22100,Farmington, MO,512,209900,0.0618,0.0807,121,-0.1037,0.4667,78,0.0578,0.37,76,0.4074,0.3103,0,,,44,0.1,1.75,84,0.4779,-0.0565,123,0.019,-0.0243,1504,-0.0086,-0.0254,238003,0.0268,-0.1539,205,0.0705,0.2094,0.6901,0.2716,-0.3826,0
202302,38740,Poplar Bluff, MO,548,177400,-0.014,0.3457,116,-0.1316,0.0596,82,0.0062,-0.0061,46,-0.1154,0.0455,0,,,16,-0.3333,-0.1111,68,0.4362,-0.1346,115,0.0084,0.4523,1542,-0.0265,-0.0034,237321,-0.0254,0.2684,182,0.0055,-0.0242,0.5844,0.231,-0.1312,0
202302,14700,Branson, MO,549,329225,0.013,0.0978,333,-0.0738,0.9792,98,0.0622,1.0469,136,0.1525,-0.2527,4,0,-0.6667,76,-0.283,1.1111,275,0.2115,-0.2588,213,0.0026,0.1575,1614,0.0048,-0.0344,465092,0.0236,-0.1765,608,0.0367,0.1302,0.8271,0.1948,-1.3813,1
202302,47660,Warrensburg, MO,583,280000,0.0012,0.073,83,-0.1129,0.6837,81,0.0762,1.057,48,0.2,-0.1429,4,1,1,26,-0.1875,1.1667,86,0.0621,-0.1,142,-0.0401,0.0168,1971,0.0628,-0.005,341535,0.1091,-0.003,168,-0.0175,0.1873,1.0364,0.1708,-0.9024,1
202302,40620,Rolla, MO,651,241250,0.0322,0.2423,70,-0.1195,0.2963,93,0.0452,0.2416,42,0.5,0.3125,0,,,16,-0.1111,0.6,52,0.1573,-0.2797,122,-0.0199,0.0389,1984,0.0813,0.1234,299089,-0.0034,0.0067,122,-0.0081,-0.0615,0.7357,0.176,-0.5884,0
202302,42740,Sedalia, MO,671,217450,0.1445,0.8319,76,-0.1264,0.551,59,-0.1511,-0.1511,54,0.8,0.8,0,,,18,-0.4706,0.5,53,0.1413,0.0606,126,0.0389,0.4634,1615,0.0531,0.2205,254092,0.0416,0.2051,127,-0.0453,0.2843,0.6908,0.1621,-0.3194,1
202302,22780,Fort Leonard Wood, MO,675,202475,0.0149,0.111,90,-0.1346,0.2587,85,0.1565,0.5385,48,0,-0.3846,0,,-1,20,0,1,94,0.1987,-0.3462,102,-0.0089,0.0783,1751,0.0086,0.0225,235702,0.0825,-0.0195,183,0.0111,-0.1551,1.0389,0.2889,-0.9611,0
202302,48460,West Plains, MO,676,259950,0.0349,0.284,138,-0.0803,0.5537,124,0.1624,0.625,36,0.3846,-0.0526,0,,,18,-0.3077,0.2857,42,0.1053,-0.4878,128,-0.0005,0.1081,1900,0.0021,0.0558,369756,0.0453,-0.0873,181,-0.0423,0.0647,0.3055,0.0513,-0.6211,0
202302,25300,Hannibal, MO,692,177205,0.0888,0.1893,48,-0.068,0.0323,81,0.1607,0.0762,26,0,-0.1333,0,,,12,-0.5,0.2,29,0.1176,-0.3133,100,0.0435,0.1025,1835,0.1068,0.2157,231067,0.1059,0.0114,77,-0.0129,-0.1156,0.5938,0.0986,-0.2987,0
202302,43460,Sikeston, MO,701,129450,0.0516,-0.1364,83,-0.1223,0.2992,72,0.0992,0.5401,30,0.0714,0.25,0,,,16,-0.1111,3,30,0.3111,0.7353,82,-0.0022,-0.1382,1297,-0.0219,-0.2202,178845,0.0239,-0.0526,109,0.0046,0.3395,0.3576,0.1182,0.0899,1
202302,30060,Lebanon, MO,741,269900,0.0485,0.3848,49,-0.1339,-0.1339,74,-0.0199,0.3532,30,0.1538,-0.1176,0,,,6,-0.625,-0.5,41,0.2424,-0.219,124,-0.062,0.1021,1823,0.0619,0.1894,315984,0.0697,0.2325,87,-0.0169,-0.1907,0.8454,0.2561,-0.0921,0
202302,28860,Kirksville, MO,813,190450,0.0628,0.2705,56,0,-0.125,68,-0.1456,-0.4,36,0.6364,0.2,0,,,6,-0.25,0.5,26,1.125,-0.3289,103,-0.0092,0.0934,1672,0.0327,0.1521,251554,-0.1148,-0.248,85,0.2319,-0.1748,0.4554,0.2411,-0.1384,0
202302,28380,Kennett, MO,818,101075,0.0447,0.2421,64,-0.1579,0.1327,67,-0.2576,-0.3415,12,-0.5,0.5,0,,,6,-0.5714,0.5,17,0.2143,1.2667,65,-0.0049,0.0004,1532,0.0608,0.1595,114176,0.0066,0.0412,73,-0.142,0.1328,0.2656,0.0814,0.1329,0
202302,33020,Mexico, MO,858,133675,0.0306,0.0291,48,-0.0206,0.8269,40,-0.2108,-0.0747,22,-0.2667,0.375,0,,,8,0.3333,3,28,0.3095,-0.2466,102,-0.0087,0.1047,1375,-0.0402,0.1294,145933,-0.1045,-0.0635,74,0.0652,0.1667,0.5789,0.146,-0.8249,0
202302,33620,Moberly, MO,872,159900,-0.0508,0.2183,42,0.012,0.6154,78,0.0868,0.3433,22,-0.0833,0.1,0,-1,,14,1.3333,6,1,0,-0.6,95,-0.0373,-0.0227,1619,0.0131,0.1874,197542,-0.132,0.284,43,0.0118,0.5088,0.0238,-0.0003,-0.0723,0
202302,32180,Marshall, MO,876,147500,-0.0067,0.1614,59,-0.0085,0.918,70,-0.1139,0.0256,16,-0.3846,-0.1111,0,,,12,-0.1429,0.5,19,-0.119,-0.3621,94,0.0209,-0.0047,1551,0.0127,0.1245,164197,0.0165,-0.1608,77,-0.0253,0.3051,0.3162,-0.0397,-0.6346,0
202302,32340,Maryville, MO,895,181700,-0.0095,-0.1449,24,0.1463,0.3429,55,-0.1742,-0.0954,10,-0.375,-0.4444,0,,,2,-0.5,0,11,-0.2759,-0.475,114,-0.0192,0.0275,1830,0.0099,0.003,242895,0.0274,0.0942,34,0,-0.1169,0.4468,-0.2605,-0.696,1
202301,41180,St. Louis, MO-IL,20,269900,0.0044,0.1066,3782,-0.1045,0.2567,66,0.2,0.1186,2260,0.3079,-0.1823,128,-0.0857,-0.5224,1244,0.1268,0.8512,2872,-0.0887,-0.2429,154,0.0181,0.0611,1653,-0.0035,0.0333,333821,0.0129,-0.0078,6671,-0.0951,-0.0146,0.7594,0.0132,-0.5012,0
202301,28140,Kansas City, MO-KS,30,432425,0.0547,0.1847,4049,-0.0751,0.8255,88,0.1612,0.2607,1942,0.281,-0.0536,190,1.1591,-0.4663,1014,0.0563,1.9138,2961,-0.0532,-0.3621,199,0.0405,0.1045,2212,0.0053,0.0758,484419,0.0234,0.1228,7008,-0.0663,0.0326,0.7312,0.0169,-1.3613,1
