month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,36540,Omaha-Council Bluffs, NE-IA,57,428649,0.0423,0.0937,1310,-0.1018,1.1353,55,-0.1985,0.473,836,0.1147,-0.2083,130,0.25,0.4444,276,0.104,2.45,1590,0.1947,-0.184,186,0.0155,0.1193,2247,0.0216,0.0296,470448,0.0512,0.1013,2907,0.0416,0.1345,1.2134,0.3011,-1.9619,1
202302,30700,Lincoln, NE,150,441275,0.0041,0.1393,501,-0.0411,0.3651,46,-0.156,0.0455,278,0.0775,-0.298,8,0,-0.6923,80,0.0811,2.0769,432,0.1206,-0.4205,178,0.0064,0.0383,2446,0.0121,0.0987,455262,0.0007,0.0648,940,0.029,-0.1551,0.8623,0.1245,-1.1691,1
202302,24260,Grand Island, NE,467,295069,0.0178,0.213,80,-0.1888,0.4587,87,0.2076,1.4577,32,-0.36,-0.4667,0,,,28,0.5556,0.75,10,0.8182,-0.4118,129,0.0145,-0.2137,2586,0.0354,0.8524,370866,0.065,0.2825,90,-0.1304,0.2857,0.1258,0.0697,-0.1861,1
202302,28260,Kearney, NE,536,346225,0.0722,0.2165,47,-0.1607,0.5667,118,0.2304,0.6906,20,-0.1667,-0.6154,0,,,8,0,0,48,0.1163,-0.232,126,0.0156,0.0932,2555,0.0045,-0.0564,331555,0.0235,0.0939,95,-0.0104,0.016,1.0213,0.2534,-1.0621,1
202302,35740,Norfolk, NE,599,249750,0.0221,-0.0549,71,0.093,0.5161,58,-0.3629,-0.1544,36,-0.0526,-0.1,0,,,14,0.1667,0.4,4,-0.125,-0.3,142,0.0846,0.1778,2013,-0.0624,-0.0437,347884,0.0263,0.2655,75,0.0719,0.4466,0.0496,-0.0124,-0.0579,0
202302,42420,Scottsbluff, NE,706,236000,0.0977,0.0913,74,-0.0134,0.8608,67,-0.0358,-0.0218,22,-0.3529,-0.1538,0,,,14,-0.4615,0.75,42,0.6275,-0.1354,175,0.0681,0.0645,1376,-0.0217,-0.031,314028,0.0469,-0.2035,116,0.155,0.3125,0.5646,0.2223,-0.6506,0
202302,23340,Fremont, NE,712,264475,0.0282,0.1549,47,-0.1545,0.274,70,0.1772,0.492,24,-0.1429,-0.3333,0,,-1,10,-0.1667,1.5,47,0.5161,0,160,0.069,0.1045,1628,-0.1257,0.1071,329483,0.0195,0.4677,94,0.0936,0.1333,1.0108,0.4471,-0.2769,0
202302,35820,North Platte, NE,719,278000,0.1583,0.8915,50,-0.25,0.5968,95,0.2298,0.1377,24,-0.1429,-0.1429,0,,,12,-0.25,5,52,0.4714,0.0619,128,0.0394,0.3338,1620,-0.0055,0.0315,309323,0.073,0.3803,103,0,0.2893,1.0404,0.5101,-0.5241,1
202302,18100,Columbus, NE,762,285000,0,0.0755,63,-0.0526,0.5,85,0.0895,0.0396,18,-0.1,-0.5,0,,,12,-0.1429,1,4,0.4,0.75,192,0.0102,-0.0123,1431,-0.0062,-0.0104,324100,0.0246,0.1203,67,-0.029,0.4889,0.0556,0.018,0.0079,0
202302,25580,Hastings, NE,784,265000,0.0643,0.3503,32,-0.2,0.561,93,0.1563,1.5874,16,-0.2,-0.3846,0,,,12,-0.25,0.5,27,0.125,-0.4194,110,0.0113,0.0681,2221,0.0023,0.0398,292450,0.0204,0.0513,59,-0.0853,-0.0992,0.8438,0.2438,-1.4245,1
202302,30420,Lexington, NE,852,271250,0.0049,0.2136,39,-0.2062,0.4808,100,0.3492,0.1775,18,2,1.25,0,,,2,0,0,27,0.4211,-0.1,151,0.0419,0.4774,1719,0.0188,-0.143,315003,-0.0386,0.1209,64,-0.0522,0.1239,0.7013,0.3095,-0.4525,1
202302,13100,Beatrice, NE,860,283750,0.1241,0.6991,26,-0.2877,0.5294,51,-0.3463,0.8198,14,-0.125,-0.3,0,,,8,0.3333,,23,0.3529,-0.3134,140,0.0886,0.2645,1740,0.0214,0.0767,284001,0.0467,0.5218,50,-0.0917,-0.0388,0.8846,0.4189,-1.086,1
202301,36540,Omaha-Council Bluffs, NE-IA,57,411249,0.0307,0.0967,1459,-0.0833,1.1834,68,0.1525,0.4167,750,0.3298,-0.0625,104,0.8571,0.625,250,-0.0942,1.7174,1331,-0.0676,-0.2733,183,0.0102,0.129,2200,0.0155,0.0582,447515,0.0263,0.0797,2791,-0.0732,0.1122,0.9122,0.0153,-1.8288,1
202301,30700,Lincoln, NE,150,439476,0.0786,0.188,523,-0.1038,0.3786,55,0.0283,0.0187,258,0.0403,-0.1042,8,1,-0.6667,74,-0.1957,2.0833,386,-0.0191,-0.3986,177,0.0239,0.0648,2417,0.0177,0.0922,454926,0.0489,0.0854,914,-0.064,-0.107,0.7378,0.0637,-0.9535,0
202301,24260,Grand Island, NE,467,289900,0,0.1713,98,-0.0297,0.6333,72,0.2457,1.0069,50,0.5625,0.1364,0,,,18,-0.1,0.125,6,0.1,-0.5417,127,0.035,-0.2252,2498,-0.0144,0.6784,348233,0.0181,0.1757,104,-0.0143,0.4375,0.0561,0.0066,-0.1439,1
202301,28260,Kearney, NE,536,322900,0.0094,0.2004,56,-0.082,0.5135,96,0.1369,0.2649,24,0.2,-0.25,0,,,8,0,-0.3333,43,-0.1042,-0.3485,124,0.0615,0.2411,2543,-0.0465,-0.0786,323943,-0.0341,0.1209,96,-0.1193,-0.0769,0.7679,-0.019,-1.0159,1
