month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,31700,Manchester-Nashua, NH,123,562200,0.0374,0.2634,226,-0.1105,0.4006,39,-0.1444,2.5,236,0.0631,-0.2387,8,0,-0.5556,40,-0.2857,2.3333,157,0.2038,-0.031,268,0.0473,0.0915,2020,-0.0329,0.0643,657536,0.0317,0.1631,386,0.0039,0.1768,0.694,0.1812,-0.3091,1
202302,30100,Lebanon, NH-VT,197,449750,0.0646,0.1293,328,-0.1052,0.3877,91,0.0735,0.5466,186,0.1205,-0.2955,2,-0.5,0,36,-0.3793,0.2857,201,0.1899,-0.052,246,0.0641,0.1955,1814,-0.0606,-0.0884,769487,0.0635,0.1311,522,-0.0179,0.1678,0.6122,0.1518,-0.284,0
202302,18180,Concord, NH,279,522475,0.046,0.106,87,-0.2851,0.2721,70,0.0294,1.5,78,0.0263,-0.2909,2,0,-0.6667,20,-0.1667,4,67,-0.05,-0.335,267,0.0973,0.091,2022,-0.0244,0.0363,561487,0.021,-0.0503,156,-0.1859,-0.0661,0.7688,0.1903,-0.7018,1
202302,28300,Keene, NH,452,394125,-0.0003,0.3856,65,-0.0845,0.2621,82,-0.0706,1.886,44,0.375,-0.3125,2,,0,26,1.6,5.5,39,0.0694,-0.0723,202,0.0429,0.1253,1877,-0.0472,0.07,494699,-0.0167,-0.0014,105,-0.0369,0.1611,0.5923,0.0853,-0.2135,1
202302,29060,Laconia, NH,497,599450,0.0131,0.2756,112,0.0182,0.6593,68,-0.2479,0.5,74,1.3125,0.0278,0,,-1,6,-0.5,-0.4,59,0.0351,-0.3257,330,0.0016,0.2585,1959,-0.0158,0.0206,1350117,0.0746,0.4268,169,0.009,0.0942,0.5268,0.0086,-0.7695,0
202302,13620,Berlin, NH,759,259500,0,0.4786,69,-0.1039,0.2212,126,0.2244,0.6141,26,0.3,0.1818,0,,,10,0.25,0.6667,36,0.1077,-0.1,154,-0.0348,0.3162,1502,0.0081,-0.1062,285378,0.0244,0,105,-0.0457,0.0829,0.5217,0.0997,-0.1862,0
202301,31700,Manchester-Nashua, NH,123,541950,0.0861,0.2045,254,-0.1661,0.4738,45,0.0465,0.4063,222,-0.0431,-0.0089,8,1,-0.3333,56,0.0769,3.6667,130,-0.1558,-0.2216,256,0.0251,0.083,2088,0.0216,0.1499,637312,0.0249,0.153,385,-0.1549,0.0892,0.5128,0.0062,-0.4581,0
202301,30100,Lebanon, NH-VT,197,422450,-0.0163,0.1688,366,-0.1073,0.5508,85,0.0366,0.0494,166,0.431,0.1216,4,,,58,0.6111,1.9,169,-0.1447,-0.1976,231,0.0415,0.2194,1931,-0.0316,-0.035,723573,0.0312,0.2018,532,-0.1244,0.1917,0.4604,-0.0201,-0.4294,0
202301,18180,Concord, NH,279,499500,-0.0008,0.1896,121,-0.2577,0.4756,68,0.193,0.36,76,0,0,2,,,24,-0.4,5,70,-0.2045,-0.3694,243,0.0039,0.0908,2073,0.0101,0.1008,549914,-0.0134,0.0385,191,-0.239,-0.0205,0.5785,0.0386,-0.7751,0
202301,28300,Keene, NH,452,394250,0.0112,0.3186,71,-0.2447,0.8205,89,0.1959,0.3828,32,0.6,-0.2,0,,,10,-0.5833,1.5,36,-0.2653,-0.3333,194,-0.067,-0.0188,1970,0.044,0.1074,503123,0.0256,-0.0446,109,-0.2413,0.1923,0.507,-0.0142,-0.8776,0
