month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,45940,Trenton-Princeton, NJ,148,374850,0.0132,0.3155,339,-0.0738,0.003,62,-0.1854,0.4643,264,0.2571,-0.2584,12,0.2,-0.4,68,0.0625,0.2143,419,0.0913,-0.3466,211,-0.0086,0.1328,1687,-0.0021,0.1304,659532,0.0789,0.1237,750,0.0081,-0.22,1.2345,0.1867,-0.6605,0
202302,12100,Atlantic City-Hammonton, NJ,188,344450,0.0185,0.2002,819,-0.046,0.0595,72,-0.128,0.0142,354,0.1132,-0.169,14,-0.5625,-0.65,108,-0.25,-0.0526,567,0.2015,-0.3409,206,-0.0032,0.1613,1609,0.0069,0.062,630617,0.0593,0.3481,1386,0.048,-0.1484,0.6921,0.1426,-0.4205,0
202302,47220,Vineland-Bridgeton, NJ,324,240000,0.0065,0.2468,220,-0.129,-0.0518,74,0.0172,0.1654,96,-0.1724,-0.2941,4,-0.3333,-0.5,48,-0.25,0.6,173,0.1054,-0.1703,166,0.008,0.1759,1446,-0.0062,0.034,415939,0.0606,0.076,390,-0.0406,-0.1106,0.7882,0.1671,-0.1125,0
202302,36140,Ocean City, NJ,387,889500,0.0593,0.2053,754,-0.0182,0.3416,92,-0.0054,0.2267,274,0.2804,-0.2216,10,1.5,-0.5,114,0.2667,1.0357,395,0.1955,-0.4262,615,0.0491,0.147,1700,0.0229,0.0247,1456705,0.0235,0.1576,1135,0.0361,-0.0843,0.5232,0.0935,-0.7001,0
202301,45940,Trenton-Princeton, NJ,148,369950,0.0305,0.3453,366,-0.1368,0.1402,76,0.1439,0.2906,210,0.1413,-0.1667,10,0.25,-0.5,64,0,0.7778,384,-0.1204,-0.3744,213,0.0081,0.2026,1690,0.0305,0.1289,611320,0.0111,0.1322,744,-0.1268,-0.2102,1.0478,0.0195,-0.8618,0
202301,12100,Atlantic City-Hammonton, NJ,188,338194,0.0251,0.1466,858,-0.0784,-0.0092,82,0.0649,0.025,318,0.4455,-0.1452,32,1.6667,-0.3333,144,0.0909,0.3333,472,-0.0682,-0.3845,207,0.0355,0.1806,1598,-0.0012,0.0063,595339,0.0187,0.3105,1323,-0.064,-0.177,0.5495,0.006,-0.335,0
202301,47220,Vineland-Bridgeton, NJ,324,238450,-0.0065,0.1982,252,-0.1189,0.0862,73,0.094,0.0246,116,0.6111,0.1154,6,,-0.5,64,0.3333,1,157,0.0097,-0.2919,164,0.0339,0.2022,1455,-0.0162,0.0393,392171,0.025,0.0288,407,-0.0761,-0.0947,0.621,0.0791,-0.3316,0
202301,36140,Ocean City, NJ,387,839700,0.021,0.2179,768,-0.0802,0.2508,93,0.0882,0.0694,214,0.4861,-0.2015,4,0,-0.75,90,-0.0217,0.7308,330,-0.1473,0.4474,586,0.0364,0.1132,1662,0.0147,0.0266,1423221,0.0464,0.1957,1096,-0.0998,0.252,0.4297,-0.0338,0.0584,0
202212,45940,Trenton-Princeton, NJ,148,359000,-0.0427,0.2213,424,-0.1823,0.0304,66,0.1478,0.0394,184,-0.2203,-0.2203,8,1,-0.3333,64,-0.5616,0.0667,436,-0.1484,-0.414,212,-0.0267,0.1078,1640,-0.0226,0.0875,604580,-0.0399,0.1276,852,-0.1593,-0.2591,1.0283,0.0408,-0.7797,0
202212,12100,Atlantic City-Hammonton, NJ,188,329900,-0.0106,0.1455,931,-0.1091,-0.0695,77,0.1667,0.1079,220,-0.2763,-0.3125,12,-0.4545,-0.6842,132,-0.3465,0.0476,506,-0.1373,-0.4157,200,0.005,0.1356,1600,0.0013,0.0023,584433,0.0177,0.2872,1413,-0.1267,-0.2375,0.5435,-0.0177,-0.3221,0
