month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,35620,New York-Newark-Jersey City, NY-NJ-PA,1,679950,0.0263,0.0672,30177,-0.0169,0.0588,84,-0.0511,0.2101,12264,0.1021,-0.2829,320,0.0127,-0.4306,4070,-0.1202,0.3704,13895,0.0754,-0.1772,477,0.0381,0.0536,1488,-0.0037,0.0581,1577536,0.0195,0.0937,43758,0.0096,-0.0366,0.4604,0.0395,-0.1321,0
202302,15380,Buffalo-Cheektowaga, NY,47,227450,0.0109,0.0834,749,-0.0667,0.3163,65,-0.0938,-0.0038,552,0.1948,0,14,0,-0.5882,134,-0.2872,0.4889,1166,-0.0653,-0.2724,152,-0.0066,0.0494,1557,-0.0163,0.0257,319473,-0.0095,-0.0168,1918,-0.0635,-0.1139,1.5567,0.0022,-1.2596,1
202302,40380,Rochester, NY,49,232450,-0.0117,0.039,691,0,0.2495,31,-0.3261,0.3778,640,0.1348,-0.0154,12,5,-0.4,108,0.0588,0.5429,76,0.1176,-0.3184,141,0.0067,0.0578,1711,0.0074,-0.0019,329024,-0.003,0.0747,760,0.0026,0.1403,0.11,0.0116,-0.0916,0
202302,10580,Albany-Schenectady-Troy, NY,55,384900,0.0564,0.0442,1031,-0.0795,0.1086,77,-0.0525,-0.1229,554,0.1688,-0.2086,46,0,-0.5818,220,-0.0265,0.5068,1467,0.0266,-0.276,209,0.0439,0.1252,1791,0.0165,-0.0699,458242,0.0503,-0.0523,2488,-0.0257,-0.155,1.4224,0.147,-0.7556,0
202302,45060,Syracuse, NY,84,226610,0.1054,0.2253,514,-0.0438,-0.0039,89,-0.0056,0.127,332,0.2206,-0.2095,8,-0.3333,0,74,-0.2128,-0.0263,826,-0.0231,-0.202,130,0.0184,0.1513,1652,0.0221,0.0058,369567,0.0221,0.0889,1341,-0.0286,-0.1334,1.6076,0.034,-0.3992,0
202302,39100,Poughkeepsie-Newburgh-Middletown, NY,92,469700,0.0062,0.0936,1342,-0.0394,0.3353,80,-0.0244,0.1511,542,0.2262,-0.0967,24,-0.2,-0.3684,208,-0.1875,0.8909,505,0.0677,-0.2476,234,0.0028,0.0635,2017,0.0074,0.0084,689318,0.0047,-0.0532,1776,-0.0188,0.1004,0.3759,0.0377,-0.2912,0
202302,46540,Utica-Rome, NY,167,176975,0.0119,0.0444,293,-0.132,0.1038,95,0.1206,0.1407,128,0.0323,-0.0303,0,,-1,64,-0.0857,0.28,362,0.0154,-0.224,110,-0.0417,-0.022,1587,0.0038,0.0009,253481,0.0133,0.0354,655,-0.0542,-0.0954,1.2376,0.1797,-0.5228,0
202302,13780,Binghamton, NY,189,184450,0.0421,0.1409,266,-0.089,0.0514,86,0.0118,0.0361,152,0.3818,0.1014,2,-0.5,0,56,-0.3333,-0.1515,318,0.0308,-0.1942,104,0.0026,0.0884,1862,0.0296,0.0047,265557,0.0327,0.0597,584,-0.025,-0.0953,1.1936,0.1388,-0.3637,0
202302,28740,Kingston, NY,231,489000,0.0306,0.0706,390,-0.1419,0.3542,110,0.0943,0.0138,122,0.2449,-0.0469,2,0,0,64,-0.2889,0.8824,244,0.1323,-0.3306,243,0.0149,0.0056,2024,0.0159,0.0096,679979,0.0032,-0.1094,598,-0.0634,-0.03,0.6256,0.1515,-0.64,0
202302,27460,Jamestown-Dunkirk-Fredonia, NY,309,149900,0.1317,-0.0553,157,-0.0792,0.4208,70,-0.1115,-0.248,70,-0.125,0.2069,0,,,32,0.0667,1.6667,105,0.0345,0.9811,87,0.0161,-0.0333,1572,0.0241,-0.0419,245671,0.0574,-0.0006,263,-0.0384,0.6086,0.6688,0.0735,0.1892,0
202302,24020,Glens Falls, NY,312,302500,0.0405,0.1404,231,-0.0978,0.1244,107,0.0313,-0.0339,88,0.2941,-0.102,4,,1,36,-0.3571,0,189,-0.0131,-0.2515,182,0.0221,0.2449,1662,0.0162,-0.0334,678604,0.0108,0.2537,421,-0.0486,-0.0748,0.82,0.0704,-0.4118,0
202302,36300,Ogdensburg-Massena, NY,375,131897,0.0148,0.2565,199,-0.1195,-0.0701,131,0.2083,0.0136,48,0,-0.2,0,,-1,26,-0.1333,0,132,0.0273,-0.1433,80,-0.0227,0.0805,1500,-0.0083,0.0244,168512,0.0324,0.0859,329,-0.0641,-0.1122,0.6608,0.0944,-0.0565,0
202302,48060,Watertown-Fort Drum, NY,377,173700,-0.0186,0.0469,155,-0.158,0.0404,116,0.11,0.0841,54,-0.1,-0.2059,2,,0,22,-0.4762,-0.2143,139,0.0775,-0.3301,110,0.0032,0.0419,1739,0.044,0.041,249481,0.0291,0.0724,293,-0.0655,-0.1942,0.8997,0.1967,-0.4976,0
202302,27060,Ithaca, NY,380,384000,0.0414,0.0817,50,0.1928,0.2222,21,-0.7703,-0.2917,60,0.875,0.0714,0,,,6,0.5,0.5,64,-0.0522,0.016,177,0.0453,0.0524,2535,0.0607,0.1233,540074,0.031,0.2575,117,0.0884,0.1304,1.2828,-0.3316,-0.2604,0
202302,18500,Corning, NY,384,174450,-0.0029,0.091,120,-0.0363,-0.07,93,0,0.1012,48,-0.2,-0.1111,0,,,26,0.0833,0.8571,63,-0.0308,-0.2632,96,-0.0162,0.0254,1846,-0.0011,0.0453,286240,-0.025,0.1874,183,-0.0267,-0.1392,0.5272,0.003,-0.1382,0
202302,21300,Elmira, NY,417,154675,-0.0716,0.3226,104,-0.1261,-0.0048,71,-0.1009,0.0634,40,0.0526,-0.4595,0,,,26,-0.3158,-0.1875,100,-0.0524,-0.2867,94,0.0132,0.2946,1593,-0.0591,-0.0075,199728,-0.0574,0.0989,201,-0.1029,-0.1749,0.9567,0.0744,-0.3782,0
202302,38460,Plattsburgh, NY,434,182425,-0.0004,-0.0484,89,-0.0056,0.2553,105,0.0072,0.1267,32,0,0.1429,0,,,20,0,1,68,0.124,-0.3818,119,0.0028,0.0858,1577,0.0093,-0.0565,230622,0.0236,0.0728,159,0.0602,-0.1267,0.7684,0.0886,-0.7919,0
202302,36460,Olean, NY,440,119730,0.0535,-0.0422,116,0.0359,0.2031,98,0.0955,0.0317,48,0.7143,0.0909,0,,,20,-0.0909,0.25,79,-0.1514,-0.3319,98,0.0383,0.0009,1454,0.018,0.0586,216983,0.122,0.0708,196,-0.0485,-0.0776,0.6797,-0.1499,-0.5443,0
202302,12180,Auburn, NY,443,189900,0.0204,0.1876,62,-0.1338,-0.0611,89,0.0473,0.1132,34,0.3077,0.0625,0,,,12,-0.3333,-0.25,60,0.0348,-0.2067,113,0.0307,0.206,1778,0.0528,0.0598,305410,-0.0143,0.1626,120,-0.0625,-0.1429,0.9675,0.1576,-0.1776,0
202302,26460,Hudson, NY,499,639950,0.0897,0.1862,191,-0.0522,0.0793,110,0.0329,-0.0415,48,0.0435,0.0909,0,,-1,32,0,0.1429,98,0.0209,-0.4348,300,0.0196,0.0254,2147,0.0218,-0.0057,1061088,0.0631,0.0646,283,-0.0275,-0.1785,0.5118,0.0367,-0.4655,0
202302,36580,Oneonta, NY,514,254950,-0.0194,0.0097,139,0,-0.0348,126,0.0633,0.156,42,0.1053,-0.16,0,,-1,10,1.5,-0.2857,80,-0.1061,-0.5195,133,-0.0423,0.0655,1937,0.0102,-0.0298,415078,-0.0431,0.0666,219,-0.0353,-0.2917,0.5776,-0.0686,-0.5827,0
202302,12860,Batavia, NY,527,135125,-0.2383,-0.2164,23,-0.1964,-0.1818,57,0.1457,0.7143,20,0,-0.3333,0,,,4,-0.6,0,28,-0.082,-0.3778,95,-0.0997,-0.1284,1388,-0.0868,-0.1349,186443,-0.0734,-0.2285,52,-0.1417,-0.2897,1.2444,0.1552,-0.3919,1
202302,24100,Gloversville, NY,547,213750,0.018,0.0205,107,-0.0138,0.3049,100,-0.0316,-0.0524,44,0.5714,0.1,0,-1,,14,0,0.1667,62,-0.016,-0.4629,120,-0.0385,0.1568,1528,0.0051,-0.1318,262345,-0.022,0.0667,169,-0.0059,-0.1381,0.5748,-0.0013,-0.8216,0
202302,11220,Amsterdam, NY,578,193450,0.0211,0.0375,82,-0.0889,0.4775,91,0.0401,-0.2277,24,0,-0.1429,0,,,22,0.1,1.2,53,0.0928,-0.3375,120,-0.0015,0.2113,1944,0.0112,0.05,254874,0.0278,-0.0266,137,-0.0144,0.0037,0.6463,0.1075,-0.7951,0
202302,31660,Malone, NY,595,189000,0.0176,0.1887,113,-0.026,0.087,133,0.0857,-0.0166,14,0,-0.5,0,,,12,0.2,2,51,-0.0467,-0.3419,122,-0.0143,0.2699,1584,0.0259,0.0473,416549,0.0037,0.402,164,-0.0239,-0.0891,0.4533,-0.0099,-0.2955,0
202302,18660,Cortland, NY,607,142150,-0.0159,-0.2102,38,-0.1556,-0.2083,78,0.0265,0.069,16,0,-0.6923,0,,,6,-0.5714,0.5,55,0.0792,0.0093,104,0.0971,0.007,1366,-0.1653,-0.2139,198622,0.0249,-0.2309,91,-0.057,-0.099,1.4342,0.312,0.3092,1
202302,42900,Seneca Falls, NY,758,171700,0.0409,0.2681,25,-0.125,0.3243,67,-0.0946,-0.0759,12,0.5,-0.25,0,,,4,1,,3,-0.4545,-0.5385,93,-0.1287,0.1699,1712,0.1658,-0.04,312691,0.0422,0.4937,27,-0.1818,0.0588,0.1224,-0.074,-0.2289,0
202301,35620,New York-Newark-Jersey City, NY-NJ-PA,1,662500,0.0038,0.06,30697,-0.0967,0.0899,88,0.1,0.0353,11128,0.5144,-0.1216,316,0.7174,-0.3305,4626,0.211,0.6859,12921,-0.1049,-0.2207,460,0.0161,0.042,1493,-0.0071,0.0479,1547426,0.0183,0.0354,43342,-0.0993,-0.029,0.4209,-0.0038,-0.1677,0
202301,15380,Buffalo-Cheektowaga, NY,47,225000,-0.0213,0.0676,803,-0.1853,0.2758,72,0.1613,-0.0526,462,0.0132,-0.0977,14,0.1667,-0.7083,188,-0.1754,1.6111,1248,-0.2421,-0.3307,153,0.0028,0.0572,1582,-0.0017,0.0362,322535,0.018,0.0138,2048,-0.2212,-0.1875,1.5545,-0.1165,-1.4089,1
202301,40380,Rochester, NY,49,235200,-0.0396,0.1763,691,-0.1186,0.2428,46,0.0455,0.15,564,0.3056,-0.0784,2,-0.8333,-0.8333,102,-0.0893,0.8214,68,-0.3398,-0.4237,140,-0.0214,0.1278,1699,-0.0128,0.003,330022,-0.0113,0.1015,758,-0.1454,0.1398,0.0984,-0.033,-0.1138,0
202301,10580,Albany-Schenectady-Troy, NY,55,364336,0.056,0.0411,1120,-0.1174,-0.0115,81,0.1408,-0.0122,474,0.0042,-0.1596,46,4.75,-0.5,226,-0.0088,0.314,1429,-0.093,-0.3055,200,0.0496,0.2002,1762,0,-0.1363,436277,0.0141,-0.0386,2554,-0.1012,-0.195,1.2754,0.0343,-0.5401,0
