month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,34980,Nashville-Davidson--Murfreesboro--Franklin, TN,35,517765,0.016,0.0889,6071,-0.0544,2.9967,39,-0.2736,1.6552,2972,0.0081,0.022,206,0.3733,-0.0721,2128,-0.038,6.2877,2229,0.2832,0.1735,246,0.0051,0.0311,2184,0.0036,0.071,799725,0.0171,-0.0331,8238,0.0235,1.4175,0.3672,0.0966,-0.8833,1
202302,32820,Memphis, TN-MS-AR,46,323095,-0.0057,0.4268,2267,-0.0588,1.3609,69,-0.0352,0.7342,1338,0.1058,-0.0074,52,-0.1034,-0.2973,768,-0.1616,2.2542,1771,0.1875,-0.3292,158,0.0071,0.1838,2248,-0.0068,0.0028,362245,-0.0069,0.0924,4037,0.0359,0.1214,0.7812,0.162,-1.9683,1
202302,28940,Knoxville, TN,61,457116,0.0384,0.219,1184,-0.1342,1.0076,54,-0.1917,0.4626,864,-0.071,-0.2327,22,0,-0.3529,434,-0.2439,1.17,1463,0.2182,-0.2394,206,0.0236,0.1303,2243,0.0162,0.1156,571793,0.0272,0.0325,2638,0.0241,0.0506,1.2362,0.3576,-2.0268,1
202302,16860,Chattanooga, TN-GA,98,398400,-0.0007,0.1106,1066,-0.0616,1.3188,62,-0.1593,0.6424,616,-0.0375,-0.1852,32,1,-0.2,350,-0.1505,1.2436,964,0.0239,-0.2448,194,-0.0001,0.0874,2093,0.0036,0.031,506652,-0.0017,-0.0323,1987,-0.0317,0.1529,0.9047,0.0756,-1.8733,1
202302,28700,Kingsport-Bristol, TN-VA,156,323069,0.0096,0.2672,382,-0.0521,0.7285,64,-0.0448,0.6623,266,0.0992,-0.089,6,0.5,0.5,146,0,1.1471,247,0.1569,-0.24,165,0.0062,0.1832,1942,0.0198,0.0972,435991,0.0151,-0.0697,627,0.017,0.1527,0.6466,0.1168,-0.824,0
202302,17300,Clarksville, TN-KY,169,363900,0.031,0.0454,1092,-0.1075,1.6951,60,-0.0591,1.8118,462,-0.0128,-0.3246,30,0.3636,-0.4828,274,-0.2126,2.9143,409,0.1959,-0.4499,187,0.0138,0.0887,2067,0.0084,-0.0156,405037,0.0307,0.0435,1517,-0.0175,0.3285,0.3747,0.0951,-1.4611,1
202302,27740,Johnson City, TN,209,399350,0.0275,0.0687,245,-0.1075,1.0332,64,-0.0957,0.8214,168,-0.087,-0.1923,0,-1,-1,94,-0.06,2.3571,174,0.123,-0.2875,190,-0.0126,0.0584,2000,0.0289,0.0477,487990,0.0008,-0.102,419,-0.0176,0.1497,0.7082,0.1453,-1.3126,1
202302,27180,Jackson, TN,245,274900,0.0193,0.5077,307,-0.0877,0.7797,76,0,0.4112,132,-0.0704,-0.12,6,0,0,86,-0.1042,0.7917,181,0.1715,-0.2642,138,-0.0048,0.3225,1917,-0.0022,0.1568,333327,0.0137,0.3578,480,-0.0052,0.1485,0.5896,0.1304,-0.8365,1
202302,34100,Morristown, TN,300,354225,0.0149,-0.0006,278,0.0354,1.0182,80,-0.0153,0.8663,158,0.386,-0.0595,4,0,,86,0.2647,1.8667,168,0.0633,-0.4437,196,-0.0188,-0.0049,1938,0.0212,0.0366,477857,0.0103,-0.0575,439,0.0378,-0.0057,0.6054,0.0159,-1.591,1
202302,17420,Cleveland, TN,330,370000,0.0252,0.0181,323,-0.0583,2.0762,73,-0.0611,0.825,156,0.0685,-0.1429,4,0,-0.6,108,0.08,1.8421,240,0.1405,-0.2433,192,0.0193,0.0934,2034,0.0247,-0.0195,478689,0.0555,-0.1719,552,0.0045,0.3463,0.7415,0.1292,-2.2728,1
