month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,15540,Burlington-South Burlington, VT,201,468675,0.0163,0.0474,170,0.0211,0.289,65,-0.3359,0.6111,122,0.4524,-0.2561,2,-0.5,-0.5,18,-0.4375,0.8,43,0.1039,-0.086,251,0.078,0.0665,1920,-0.0166,0.025,620194,-0.0052,0.2664,209,0.0196,0.1746,0.2507,0.0188,-0.1029,0
202302,12740,Barre, VT,501,344000,-0.053,0.1967,42,-0.087,-0.0345,74,-0.2164,-0.1108,28,0,-0.0667,0,,,6,0.5,2,22,-0.1042,-0.5326,206,-0.0153,0.0783,1510,-0.1039,0.0276,477575,-0.0523,0.1377,65,-0.0786,-0.2793,0.5119,-0.0098,-0.5456,0
202302,40860,Rutland, VT,503,260350,-0.053,-0.205,113,0.0044,0.0711,125,0.0751,0.6373,46,0.0455,-0.3429,0,,,20,0,0.6667,54,0.1739,-0.4033,202,0.0191,-0.0997,1610,-0.1103,-0.207,429358,0.0347,-0.2835,165,0.041,-0.1473,0.4779,0.069,-0.3799,1
202302,13540,Bennington, VT,699,566000,0.1527,0.2579,63,-0.1438,0.1364,116,0.0967,0.3401,30,-0.0625,-0.2105,0,-1,,12,0.2,1,39,0.0263,-0.22,213,-0.0051,0.0549,2665,0.092,0.1534,886082,0.056,0.2375,102,-0.0645,-0.024,0.624,0.1035,-0.2851,0
202301,15540,Burlington-South Burlington, VT,201,461175,-0.028,0.075,166,-0.1217,0.1773,98,0.213,0.213,84,-0.0455,0,4,,-0.75,32,0.6,1.6667,39,-0.1809,-0.3246,233,-0.0098,0.0035,1953,-0.0074,0.018,623413,0.0255,0.2505,205,-0.1335,0.0328,0.2319,-0.0167,-0.1723,0
202301,12740,Barre, VT,501,363250,0.032,0.3481,46,-0.2069,-0.2069,95,0.2804,-0.1103,28,0.75,-0.2222,0,,,4,-0.75,-0.5,24,0.0909,-0.5,210,0.0172,0.1032,1685,-0.0112,0.0671,503938,0.0871,0.1067,70,-0.125,-0.3269,0.5217,0.1424,-0.3058,0
202301,40860,Rutland, VT,503,274925,-0.0805,-0.2468,113,-0.1,0.0321,117,0.1768,0.6763,44,0.5714,-0.1538,0,,,20,0.25,0.25,46,0.0455,-0.4524,198,0.0784,0.0319,1809,-0.0627,-0.1755,414967,-0.0299,-0.3322,159,-0.0565,-0.1745,0.4089,0.0569,-0.3618,1
202301,13540,Bennington, VT,699,491000,0.0251,0.1553,73,-0.0519,0.2373,106,0.0872,0.0341,32,0.1429,0.3333,2,,,10,-0.1667,1.5,38,-0.0256,-0.0952,215,0.0066,0.1952,2441,0.0385,0.051,839126,0.0263,0.1845,109,-0.0647,0.096,0.5205,0.0141,-0.1913,0
202212,15540,Burlington-South Burlington, VT,201,474450,0.0316,0.1332,189,-0.219,0.0161,81,0.5283,0.1655,88,-0.2903,-0.2667,0,-1,,20,-0.6667,-0.2308,47,-0.2656,-0.4303,235,-0.0407,0.0767,1967,0.0186,0.0031,607935,0.0381,0.1556,236,-0.2275,-0.121,0.2487,-0.0158,-0.1949,0
202212,12740,Barre, VT,501,352000,-0.0415,0.2288,58,-0.2516,-0.1278,74,0.0172,-0.3116,16,-0.3846,-0.3333,0,,,16,-0.2727,1.6667,22,-0.5319,-0.6333,206,-0.0171,0.1005,1704,-0.0617,0.0425,463544,0.0094,0.02,80,-0.3574,-0.3625,0.3793,-0.2271,-0.5229,0
202212,40860,Rutland, VT,503,299000,-0.0353,-0.2604,125,-0.1987,0.0204,99,0.0703,0.4613,28,-0.4167,-0.4615,0,,-1,16,-0.4286,0.1429,44,-0.3383,-0.4824,184,-0.0935,-0.0766,1930,-0.032,-0.1203,427740,-0.2638,-0.3324,168,-0.2346,-0.1962,0.352,-0.0743,-0.3419,1
202212,13540,Bennington, VT,699,479000,0.0063,0.0899,77,-0.0888,-0.0128,98,0.3356,0.1143,28,0.1667,0,0,,,12,-0.4,-0.25,39,-0.3953,-0.2844,213,-0.0003,0.165,2350,-0.0038,0.0875,817594,-0.0187,0.2091,116,-0.2292,-0.1245,0.5065,-0.2568,-0.1922,0
202211,15540,Burlington-South Burlington, VT,201,459900,-0.0002,0.1498,242,-0.0798,0.0732,53,0.6563,-0.0783,124,-0.4364,-0.2346,2,-0.75,-0.5,60,-0.2857,0.4286,64,-0.1111,-0.441,245,-0.0108,0.1171,1931,-0.0158,0.0171,585637,0.0682,0.1496,306,-0.0742,-0.1015,0.2645,-0.0093,-0.2433,0
202211,12740,Barre, VT,501,367250,0.0493,0.3118,78,-0.1292,-0.1092,73,0.1023,-0.0068,26,-0.5,-0.4091,0,,-1,22,0.375,0.375,47,-0.2985,-0.4051,210,0.0097,0.1118,1816,0.0301,0.0557,459212,-0.0193,0.0257,125,-0.207,-0.2523,0.6065,-0.1464,-0.3016,0
202211,40860,Rutland, VT,503,309950,-0.0284,-0.3081,156,-0.0488,0.2235,93,0.142,0.2333,48,-0.0769,-0.2258,0,,-1,28,-0.2222,0.5556,67,-0.2528,-0.3383,203,0.0204,0.0229,1994,0.0406,-0.0913,581025,0.0781,-0.0335,220,-0.1324,-0.0457,0.4263,-0.1164,-0.362,1
202211,13540,Bennington, VT,699,476000,-0.0611,0.0591,85,-0.1378,-0.0714,73,0.1318,-0.2065,24,-0.5385,-0.2,0,,,20,-0.1667,0.1111,65,-0.14,-0.2586,213,-0.0455,0.1165,2359,-0.0724,0.0684,833164,-0.0306,0.2303,151,-0.1147,-0.1592,0.7633,-0.002,-0.1927,0
