month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202302,26580,Huntington-Ashland, WV-KY-OH,147,172700,0.0801,0.2565,478,-0.1132,0.0827,88,0.0057,0.0057,214,0.1031,-0.0531,4,,-0.3333,122,0,0.6944,318,0.1756,-0.2129,99,0.0478,0.1086,1800,0,0.143,250319,0.0338,0.1832,795,-0.0118,-0.0541,0.6653,0.1634,-0.2498,0
202302,16620,Charleston, WV,179,145000,0.0004,-0.0252,320,-0.1172,-0.0347,79,0.0261,0.0195,130,0.1017,-0.1447,0,,,82,-0.0889,0.3226,226,0.1303,-0.3019,98,0.0558,0.0755,1644,0.0046,-0.0252,213498,0.0823,-0.0394,545,-0.0285,-0.1654,0.7047,0.1543,-0.2697,0
202302,34060,Morgantown, WV,283,299215,-0.0025,0.0462,165,-0.0836,0.3374,92,0.1024,0.0702,64,-0.2381,-0.2,0,,-1,26,-0.381,0.4444,160,0.1429,-0.2399,154,-0.0085,0.0238,1885,-0.0036,0.0152,450322,0.0186,0.217,324,0.0109,-0.0256,0.9726,0.1927,-0.7387,0
202302,48540,Wheeling, WV-OH,292,161000,0.0063,0.1955,204,-0.0332,0.0968,86,0.0717,-0.1111,84,0.0769,0.2,0,,,52,0,0.625,131,0.2429,-0.0745,106,0.0453,0.1649,1572,0.0295,0.0104,212395,0.078,0.0676,333,0.0439,0.0262,0.6397,0.1421,-0.1184,0
202302,48260,Weirton-Steubenville, WV-OH,332,112200,-0.0704,-0.1432,171,-0.1517,0.1599,87,0.1849,0.2446,70,0.4583,-0.0541,0,,-1,42,-0.0455,0.1667,102,0.0625,-0.2817,83,-0.0206,-0.0704,1490,0.0253,-0.0261,182913,0.0807,0.0068,274,-0.0791,-0.052,0.5982,0.1206,-0.3677,1
202302,13220,Beckley, WV,349,155000,0.0065,0.2403,154,-0.0941,0.2996,89,0.0442,0.1063,58,-0.1714,-0.2927,0,,,22,-0.3889,-0.0833,74,0.0278,-0.2745,98,0.0451,0.1596,1540,0.0108,-0.0253,285541,0.1114,0.2817,227,-0.0581,0.0461,0.4805,0.057,-0.3802,0
202302,14140,Bluefield, WV-VA,361,179000,0.0655,0.2034,126,-0.1099,-0.0195,89,0.0565,-0.0921,44,-0.0833,-0.3714,0,,,26,0.625,0,66,0.2,-0.3231,100,-0.0144,0.1389,1867,0.0319,0.0704,276835,0.0137,0.1167,188,-0.0433,-0.1681,0.5259,0.1358,-0.2358,0
202302,17220,Clarksburg, WV,405,197250,0.026,0.1271,105,-0.0188,0.0609,76,0,-0.0351,64,0.3913,0.0667,0,,-1,24,-0.25,-0.2941,78,0.04,-0.2277,114,-0.031,0.061,1794,0.029,0.0788,248979,0.0266,0.0669,182,0.0055,-0.0925,0.7464,0.0422,-0.279,0
202302,37620,Parkersburg-Vienna, WV,406,180000,0.0976,0.1436,102,-0.0556,0.3973,75,-0.0132,-0.0449,52,0.0833,-0.1034,0,,,20,-0.3333,0.4286,88,0.1438,-0.0223,104,0.0388,0.1058,1748,-0.031,0.0565,265171,0.03,-0.2381,190,0.0215,0.1656,0.8578,0.1495,-0.3682,0
202302,21900,Fairmont, WV,528,141150,-0.0141,-0.1002,88,-0.1287,0.3858,83,0.0779,-0.0206,36,-0.3333,-0.1429,0,,-1,32,-0.0588,0.7778,77,0.2031,-0.1098,97,-0.0428,-0.0169,1568,-0.0255,-0.0605,189154,-0.0286,0.0285,166,0.003,0.0817,0.875,0.2413,-0.4872,1
202302,38580,Point Pleasant, WV-OH,550,191725,0.0407,0.245,63,-0.0672,0.0081,92,0.0826,0.0794,22,0.2222,0.1,0,,,12,0.2,0.2,29,0.0755,-0.1618,104,-0.0371,0.0852,1920,-0.0034,0.0485,275859,-0.0045,0.0382,90,-0.0324,-0.0579,0.456,0.0605,-0.0924,0
202302,34350,Mount Gay-Shamrock, WV,789,129975,-0.0546,-0.0906,30,-0.0484,-0.1571,67,-0.3991,-0.4451,10,0.25,-0.5,0,,,8,1,0.3333,12,-0.0417,-0.3235,82,0.0205,-0.0803,1900,-0.0046,0.0863,140915,-0.0609,-0.9544,42,-0.0235,-0.2095,0.3898,0.0027,-0.0959,0
202302,21180,Elkins, WV,816,209925,0.0907,0.2765,29,0.0179,-0.1231,103,0.1162,0.0049,20,2.3333,1,0,,,4,-0.3333,-0.3333,18,0.3462,-0.2857,121,-0.0664,0.2874,1739,0.0158,0.0876,238904,-0.0426,0.2068,47,0.1625,-0.1913,0.614,0.1497,-0.1398,1
202301,26580,Huntington-Ashland, WV-KY-OH,147,159900,-0.0006,0.1028,539,-0.0926,0.0631,87,0.061,0.0875,194,0.2436,-0.0102,0,,,122,0.1296,0.525,271,-0.0055,-0.301,95,-0.0225,0.0472,1800,-0.0055,0.1429,242137,-0.0134,0.1555,805,-0.0591,-0.094,0.5019,0.0439,-0.2615,0
